child_enemy_parameter_4,child_enemy_parameter_5,child_enemy_parameter_3,enemy_id,child_enemy_parameter_1,name,child_enemy_parameter_2
0,0,0,401021505,401021506,双子魔猪 第1阶段,401021507
0,0,401021908,401021905,401021906,暴食魔兽 第1阶段,401021907
0,0,0,401022105,401022106,人马射手 第1阶段,401022107
0,0,0,401022305,401022306,阿克艾利欧斯 第1阶段,401022307
0,0,401025908,401025905,401025906,暴食魔兽 第1阶段 单人模式,401025907
0,0,0,401026105,401026106,人马射手 第1阶段 单人模式,401026107
0,0,0,401026305,401026306,阿克艾利欧斯 第1阶段 单人模式,401026307
0,0,0,401031505,401031506,双子魔猪 第2阶段,401031507
0,0,401031908,401031905,401031906,暴食魔兽 第2阶段,401031907
0,0,0,401032105,401032106,人马射手 第2阶段,401032107
0,0,0,401032305,401032306,阿克艾利欧斯 第2阶段,401032307
0,0,401035908,401035905,401035906,暴食魔兽 第2阶段 单人模式,401035907
0,0,0,401036105,401036106,人马射手 第2阶段 单人模式,401036107
0,0,0,401036305,401036306,阿克艾利欧斯 第2阶段 单人模式,401036307
0,0,0,401041505,401041506,双子魔猪 第3阶段,401041507
0,0,401041908,401041905,401041906,暴食魔兽 第3阶段,401041907
0,0,0,401042105,401042106,人马射手 第3阶段,401042107
0,0,0,401042305,401042306,阿克艾利欧斯 第3阶段,401042307
0,0,401045908,401045905,401045906,暴食魔兽 第3阶段 单人模式,401045907
0,0,0,401046105,401046106,人马射手 第3阶段 单人模式,401046107
0,0,0,401046305,401046306,阿克艾利欧斯 第3阶段 单人模式,401046307
0,0,401304108,401304104,401304106,三战士图腾 第1阶段,401304107
0,0,401304208,401304204,401304206,三战士图腾 第2阶段,401304207
0,0,401304308,401304304,401304306,三战士图腾 第3阶段,401304307
0,0,401304408,401304404,401304406,三战士图腾 第4阶段,401304407
0,0,401304508,401304504,401304506,三战士图腾 第1阶段 单人模式,401304507
0,0,401304608,401304604,401304606,三战士图腾 第2阶段 单人模式,401304607
0,0,401304708,401304704,401304706,三战士图腾 第3阶段 单人模式,401304707
0,0,0,401305105,401305106,双子魔猪 第1阶段,401305107
0,0,0,401305205,401305206,双子魔猪 第2阶段,401305207
0,0,0,401305305,401305306,双子魔猪 第3阶段,401305307
0,0,0,401305405,401305406,双子魔猪 第4阶段,401305407
0,0,0,401305505,401305506,双子魔猪 第1阶段 单人模式,401305507
0,0,0,401305605,401305606,双子魔猪 第2阶段 单人模式,401305607
0,0,0,401305705,401305706,双子魔猪 第3阶段 单人模式,401305707
0,0,0,401307104,401307106,泰坦陆龟 第1阶段,401307107
0,0,0,401307204,401307206,泰坦陆龟 第2阶段,401307207
0,0,0,401307304,401307306,泰坦陆龟 第3阶段,401307307
0,0,0,401307404,401307406,泰坦陆龟 第4阶段,401307407
0,0,0,401307504,401307506,泰坦陆龟 第1阶段 单人模式,401307507
0,0,0,401307604,401307606,泰坦陆龟 第2阶段 单人模式,401307607
0,0,0,401307704,401307706,泰坦陆龟 第3阶段 单人模式,401307707
0,0,401309108,401309105,401309106,暴食魔兽 第1阶段,401309107
0,0,401309208,401309205,401309206,暴食魔兽 第2阶段,401309207
0,0,401309308,401309305,401309306,暴食魔兽 第3阶段,401309307
0,0,401309408,401309405,401309406,暴食魔兽 第4阶段,401309407
0,0,401309508,401309505,401309506,暴食魔兽 第1阶段 单人模式,401309507
0,0,401309608,401309605,401309606,暴食魔兽 第2阶段 单人模式,401309607
0,0,401309708,401309705,401309706,暴食魔兽 第3阶段 单人模式,401309707
0,0,401310107,401310104,401310105,黑曜双足飞龙 第1阶段,401310106
0,0,401310207,401310204,401310205,黑曜双足飞龙 第2阶段,401310206
0,0,401310307,401310304,401310305,黑曜双足飞龙 第3阶段,401310306
0,0,401310407,401310404,401310405,黑曜双足飞龙 第4阶段,401310406
0,0,401310507,401310504,401310505,黑曜双足飞龙 第1阶段 单人模式,401310506
0,0,401310607,401310604,401310605,黑曜双足飞龙 第2阶段 单人模式,401310606
0,0,401310707,401310704,401310705,黑曜双足飞龙 第3阶段 单人模式,401310706
0,0,0,401311105,401311106,人马射手 第1阶段,401311107
0,0,0,401311205,401311206,人马射手 第2阶段,401311207
0,0,0,401311305,401311306,人马射手 第3阶段,401311307
0,0,0,401311405,401311406,人马射手 第4阶段,401311407
0,0,0,401311505,401311506,人马射手 第1阶段 单人模式,401311507
0,0,0,401311605,401311606,人马射手 第2阶段 单人模式,401311607
0,0,0,401311705,401311706,人马射手 第3阶段 单人模式,401311707
0,0,401312107,401312104,401312105,三战士图腾 第1阶段,401312106
0,0,401312207,401312204,401312205,三战士图腾 第2阶段,401312206
0,0,401312307,401312304,401312305,三战士图腾 第3阶段,401312306
0,0,401312407,401312404,401312405,三战士图腾 第4阶段,401312406
0,0,401312507,401312504,401312505,三战士图腾 第5阶段,401312506
0,0,401312607,401312604,401312605,三战士图腾 第1阶段 单人模式,401312606
0,0,401312707,401312704,401312705,三战士图腾 第2阶段 单人模式,401312706
0,0,401312807,401312804,401312805,三战士图腾 第3阶段 单人模式,401312806
0,0,0,401401105,401401106,阿克艾利欧斯 第1阶段,401401107
0,0,0,401401205,401401206,阿克艾利欧斯 第2阶段,401401207
0,0,0,401401305,401401306,阿克艾利欧斯 第3阶段,401401307
0,0,0,401401405,401401406,阿克艾利欧斯 第4阶段,401401407
0,0,0,401401505,401401506,阿克艾利欧斯 第5阶段,401401507
0,0,0,401401605,401401606,阿克艾利欧斯 第1阶段 单人模式,401401607
0,0,0,401401705,401401706,阿克艾利欧斯 第2阶段 单人模式,401401707
0,0,0,401401805,401401806,阿克艾利欧斯 第3阶段 单人模式,401401807
0,0,401403107,401403104,401403105,黑曜双足飞龙 第1阶段,401403106
0,0,401403207,401403204,401403205,黑曜双足飞龙 第2阶段,401403206
0,0,401403307,401403304,401403305,黑曜双足飞龙 第3阶段,401403306
0,0,401403407,401403404,401403405,黑曜双足飞龙 第4阶段,401403406
0,0,401403507,401403504,401403505,黑曜双足飞龙 第5阶段,401403506
0,0,401403607,401403604,401403605,黑曜双足飞龙 第1阶段 单人模式,401403606
0,0,401403707,401403704,401403705,黑曜双足飞龙 第2阶段 单人模式,401403706
0,0,401403807,401403804,401403805,黑曜双足飞龙 第3阶段 单人模式,401403806
0,0,0,401404104,401404105,泰坦陆龟 第1阶段,401404106
0,0,0,401404204,401404205,泰坦陆龟 第2阶段,401404206
0,0,0,401404304,401404305,泰坦陆龟 第3阶段,401404306
0,0,0,401404404,401404405,泰坦陆龟 第4阶段,401404406
0,0,0,401404504,401404505,泰坦陆龟 第5阶段,401404506
0,0,0,401404604,401404605,泰坦陆龟 第1阶段 单人模式,401404606
0,0,0,401404704,401404705,泰坦陆龟 第2阶段 单人模式,401404706
0,0,0,401404804,401404805,泰坦陆龟 第3阶段 单人模式,401404806
401405109,0,401405108,401405105,401405106,双子魔猪 第1阶段,401405107
401405209,0,401405208,401405205,401405206,双子魔猪 第2阶段,401405207
401405309,0,401405308,401405305,401405306,双子魔猪 第3阶段,401405307
401405409,0,401405408,401405405,401405406,双子魔猪 第4阶段,401405407
401405509,0,401405508,401405505,401405506,双子魔猪 第5阶段,401405507
401405609,0,401405608,401405605,401405606,双子魔猪 第1阶段 单人模式,401405607
401405709,0,401405708,401405705,401405706,双子魔猪 第2阶段 单人模式,401405707
401405809,0,401405808,401405805,401405806,双子魔猪 第3阶段 单人模式,401405807
0,0,401406107,401406104,401406105,三战士图腾 第1阶段,401406106
0,0,401406207,401406204,401406205,三战士图腾 第2阶段,401406206
0,0,401406307,401406304,401406305,三战士图腾 第3阶段,401406306
0,0,401406407,401406404,401406405,三战士图腾 第4阶段,401406406
0,0,401406507,401406504,401406505,三战士图腾 第5阶段,401406506
0,0,401406607,401406604,401406605,三战士图腾 第1阶段 单人模式,401406606
0,0,401406707,401406704,401406705,三战士图腾 第2阶段 单人模式,401406706
0,0,401406807,401406804,401406805,三战士图腾 第3阶段 单人模式,401406806
0,0,401407108,401407105,401407106,炎吼狮王 第1阶段,401407107
0,0,401407208,401407205,401407206,炎吼狮王 第2阶段,401407207
0,0,401407308,401407305,401407306,炎吼狮王 第3阶段,401407307
0,0,401407408,401407405,401407406,炎吼狮王 第4阶段,401407407
0,0,401407508,401407505,401407506,炎吼狮王 第5阶段,401407507
0,0,401407608,401407605,401407606,炎吼狮王 第1阶段 单人模式,401407607
0,0,401407708,401407705,401407706,炎吼狮王 第2阶段 单人模式,401407707
0,0,401407808,401407805,401407806,炎吼狮王 第3阶段 单人模式,401407807
0,0,401408107,401408104,401408105,赤剑毒蛇 第1阶段,401408106
