limit_num,item_type,end_time,value,gojuon_order,item_name,start_time,price,promotion_level,item_id,description,sell_check_disp
1,6,2099/12/31 23:59:59,0,0,随机经验药剂盒,2020/01/01 0:00:00,0,2,20000,能获得随机经验药剂。,0
999999,1,2099/12/31 23:59:59,60,0,迷你经验药剂,2020/01/01 0:00:00,80,1,20001,用于角色的等级强化，角色经验增加60。,0
999999,1,2099/12/31 23:59:59,300,0,经验药剂,2020/01/01 0:00:00,400,2,20002,用于角色的等级强化，角色经验增加300。,0
999999,1,2099/12/31 23:59:59,1500,0,高级经验药剂,2020/01/01 0:00:00,2000,3,20003,用于角色的等级强化，角色经验增加1500。,0
999999,1,2099/12/31 23:59:59,7500,0,超级经验药剂,2020/01/01 0:00:00,10000,4,20004,用于角色的等级强化，角色经验增加7500。,0
999999,1,2099/12/31 23:59:59,37500,0,究极经验药剂,2020/01/01 0:00:00,50000,5,20005,用于角色的等级强化，角色经验值增加37500。,0
999,21,2099/12/31 23:59:59,1,0,由加莉（圣诞节）专用辉光球/等级180,2022/11/30 11:00:00,0,1,21001,由加莉（圣诞节）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,2,0,矛依未（新年）专用辉光球/等级180,2022/12/31 11:00:00,0,1,21002,矛依未（新年）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,3,0,优衣（礼服）专用辉光球/等级180,2023/01/31 11:00:00,0,1,21003,优衣（礼服）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,5,0,莉玛（灰姑娘）专用辉光球/等级180,2023/02/28 11:00:00,0,1,21004,莉玛（灰姑娘）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,6,0,珠希（工作服）专用辉光球/等级180,2023/05/31 11:00:00,0,1,21005,珠希（工作服）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,7,0,纺希（夏日）专用辉光球/等级180,2023/07/31 11:00:00,0,1,21006,纺希（夏日）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,8,0,妮侬（万圣节）专用辉光球/等级180,2023/09/30 11:00:00,0,1,21007,妮侬（万圣节）专用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,9,0,真阳（圣诞节）专用辉光球/等级215,2023/11/30 11:00:00,0,1,21008,真阳（圣诞节）专用的辉光球。角色的属性值可以强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,10,0,流夏（新年）专用辉光球/等级215,2023/12/29 11:00:00,0,1,21009,流夏（新年）专用的辉光球。角色的属性值可以强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,12,0,菈比莉斯塔（超负荷）专用辉光球/等级215,2024/02/07 12:00:00,0,1,21010,菈比莉斯塔（超负荷）专用的辉光球。角色的属性值可以强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,13,0,碧（露营）专用辉光球/等级215,2024/05/31 11:00:00,0,1,21011,碧（露营）专用的辉光球。角色的属性值可以强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,14,0,日和莉（夏日）专用辉光球 / 等级215,2024/06/28 11:00:00,0,1,21012,日和莉（夏日）专用的辉光球。可以将角色的属性值强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,15,0,未奏希（夏日）专用辉光球 / 等级215,2024/07/31 11:00:00,0,1,21013,未奏希（夏日）专用的辉光球。可以将角色的属性值强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,16,0,铃（万圣节）专用辉光球 / 等级215,2024/09/30 11:00:00,0,1,21014,铃（万圣节）专用的辉光球。可以将角色的属性值强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,17,0,依里（圣诞节）专用辉光球 / 等级250,2024/11/29 11:00:00,0,1,21015,依里（圣诞节）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,20,0,深月（新年）专用辉光球 / 等级250,2024/12/31 11:00:00,0,1,21016,深月（新年）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,21,0,嘉夜（解放者）专用辉光球 / 等级250,2025/01/27 11:00:00,0,1,21017,嘉夜（解放者）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,22,0,花凛（炼金术师）专用辉光球 / 等级250,2025/04/15 11:00:00,0,1,21018,花凛（炼金术师）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,24,0,秋乃（夏日）专用辉光球 / 等级250,2025/05/15 11:00:00,0,1,21019,秋乃（夏日）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,25,0,空花（夏日）专用辉光球 / 等级250,2025/05/30 11:00:00,0,1,21020,空花（夏日）专用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,27,0,祈梨（新年）专用辉光球 / 等级280,2025/08/29 11:00:00,0,1,21021,祈梨（新年）专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,28,0,怜（星幽）专用辉光球 /280级,2025/09/15 11:00:00,0,1,21022,怜（星幽）专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,29,0,佩可莉姆专用光球 / 等级280,2026/04/15 11:00:00,0,1,21023,佩可莉姆专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,30,0,可可萝专用光球 / 等级280,2026/04/15 11:00:00,0,1,21024,可可萝专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,31,0,凯露专用光球 / 等级280,2026/04/15 11:00:00,0,1,21025,凯露专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,32,0,雪菲专用光球 / 等级280,2026/04/15 11:00:00,0,1,21026,雪菲专用的辉光球。角色的属性值可以强化至等级280/品级29。,0
999,21,2099/12/31 23:59:59,4,0,辉光球/等级180,2023/02/28 11:00:00,0,1,21900,所有角色都可以使用的辉光球。角色的属性值可以强化至等级180/品级19。,0
999,21,2099/12/31 23:59:59,11,0,辉光球/等级215,2023/12/15 10:00:00,0,1,21901,所有角色都可以使用的辉光球。角色的属性值可以强化至等级215/品级23。,0
999,21,2099/12/31 23:59:59,18,0,辉光球 / 等级250,2023/11/29 11:00:00,0,1,21902,所有角色都可以使用的辉光球。可以将角色的属性值强化至等级250/品级26。,0
999,21,2099/12/31 23:59:59,23,0,辉光球 / 等级260,2025/04/15 11:00:00,0,1,21904,所有角色都可以使用的辉光球。可以将角色的属性值强化至等级260/品级28。,0
