mission_reward_id,id,start_time,reward_id,lv_to,reward_num,end_time,lv_from,reward_type
18001001,1,2020/01/01 0:00:00,93001,-1,200,2099/12/31 23:59:59,1,6
18001002,2,2020/01/01 0:00:00,93001,-1,200,2099/12/31 23:59:59,1,6
11001001,3,2020/01/01 0:00:00,0,-1,30,2022/11/22 4:59:59,1,5
11001001,4,2020/01/01 0:00:00,94002,-1,30000,2022/11/22 4:59:59,1,12
11001001,5,2020/01/01 0:00:00,91002,-1,10,2022/11/22 4:59:59,1,8
11003001,6,2020/01/01 0:00:00,0,-1,40,2022/11/22 4:59:59,1,5
11003001,7,2020/01/01 0:00:00,20002,-1,2,2022/11/22 4:59:59,1,2
11003001,8,2020/01/01 0:00:00,91002,-1,10,2022/11/22 4:59:59,1,8
13002001,9,2020/01/01 0:00:00,0,-1,20,2022/11/22 4:59:59,1,5
18004001,10,2020/01/01 0:00:00,0,-1,20,2022/11/22 4:59:59,1,5
16006001,11,2020/01/01 0:00:00,0,-1,25,2022/11/22 4:59:59,1,5
16007001,12,2020/01/01 0:00:00,0,-1,25,2022/11/22 4:59:59,1,5
16007001,13,2020/01/01 0:00:00,22001,-1,3,2022/11/22 4:59:59,1,2
11004001,14,2020/01/01 0:00:00,0,-1,30,2022/11/22 4:59:59,1,5
11004001,15,2020/01/01 0:00:00,20002,-1,2,2022/11/22 4:59:59,1,2
11004001,16,2020/01/01 0:00:00,90007,-1,500,2022/11/22 4:59:59,1,2
11005001,17,2020/01/01 0:00:00,0,-1,40,2022/11/22 4:59:59,1,5
11005001,18,2020/01/01 0:00:00,94002,-1,30000,2022/11/22 4:59:59,1,12
11005001,19,2020/01/01 0:00:00,90007,-1,500,2022/11/22 4:59:59,1,2
11006001,20,2020/01/01 0:00:00,0,-1,30,2099/12/31 23:59:59,1,5
11006001,21,2020/01/01 0:00:00,20003,-1,2,2099/12/31 23:59:59,1,2
15004001,22,2020/01/01 0:00:00,0,-1,30,2024/12/17 04:59:59,1,5
15004001,23,2020/01/01 0:00:00,90007,-1,100,2024/12/17 04:59:59,1,2
14001001,24,2020/01/01 0:00:00,0,-1,40,2022/11/22 4:59:59,1,5
14001001,25,2020/01/01 0:00:00,94002,-1,80000,2022/11/22 4:59:59,1,12
14001001,26,2020/01/01 0:00:00,20003,-1,2,2022/11/22 4:59:59,1,2
14003001,27,2020/01/01 0:00:00,0,-1,50,2022/11/22 4:59:59,1,5
14003001,28,2020/01/01 0:00:00,94002,-1,140000,2022/11/22 4:59:59,1,12
14003001,29,2020/01/01 0:00:00,22002,-1,4,2022/11/22 4:59:59,1,2
21001001,30,2020/01/01 0:00:00,91002,-1,30,2099/12/31 23:59:59,1,8
21001001,31,2020/01/01 0:00:00,94002,-1,2000,2099/12/31 23:59:59,1,12
21001002,33,2020/01/01 0:00:00,91002,-1,30,2099/12/31 23:59:59,1,8
21001002,34,2020/01/01 0:00:00,22001,-1,2,2099/12/31 23:59:59,1,2
21001003,36,2020/01/01 0:00:00,91002,-1,30,2099/12/31 23:59:59,1,8
21001003,37,2020/01/01 0:00:00,22002,-1,1,2099/12/31 23:59:59,1,2
21001004,39,2020/01/01 0:00:00,91002,-1,30,2099/12/31 23:59:59,1,8
21001004,40,2020/01/01 0:00:00,22003,-1,1,2099/12/31 23:59:59,1,2
21001005,42,2018/1/1 5:00:00,91002,-1,90,2099/12/31 23:59:59,1,8
21001005,43,2018/1/1 5:00:00,22003,-1,2,2099/12/31 23:59:59,1,2
21002001,45,2020/01/01 0:00:00,91002,-1,60,2099/12/31 23:59:59,1,8
21002001,46,2020/01/01 0:00:00,94002,-1,4000,2099/12/31 23:59:59,1,12
21002002,48,2020/01/01 0:00:00,91002,-1,60,2099/12/31 23:59:59,1,8
21002002,49,2020/01/01 0:00:00,22001,-1,4,2099/12/31 23:59:59,1,2
21002003,51,2020/01/01 0:00:00,91002,-1,60,2099/12/31 23:59:59,1,8
21002003,52,2020/01/01 0:00:00,22002,-1,2,2099/12/31 23:59:59,1,2
21002004,54,2020/01/01 0:00:00,91002,-1,60,2099/12/31 23:59:59,1,8
21002004,55,2020/01/01 0:00:00,22003,-1,2,2099/12/31 23:59:59,1,2
21003001,57,2020/01/01 0:00:00,91002,-1,50,2099/12/31 23:59:59,1,8
28002001,58,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002001,59,2020/01/01 0:00:00,90007,-1,1000,2099/12/31 23:59:59,1,2
28002002,60,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002002,61,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002003,62,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002003,63,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002004,64,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002004,65,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002005,66,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002005,67,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002006,68,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002006,69,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002007,70,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002007,71,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002008,72,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002008,73,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002009,74,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002009,75,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
28002010,76,2020/01/01 0:00:00,91002,-1,100,2099/12/31 23:59:59,1,8
28002010,77,2020/01/01 0:00:00,90007,-1,1500,2099/12/31 23:59:59,1,2
