voice_id,face_id,time,beloved_step,description,unit_id,trigger,insert_word_type,id
1,1,0,1,真想和\n小佩可莉姆\n变得更要好啊。,170101,1,0,10001
2,1,0,1,凡事都该尝试！意味着\n什么东西都该尝一尝。\n诶，不是吗？,170101,1,0,10002
3,1,0,1,肉♪肉♪\n嗯，真好吃～\n这才叫快・感☆,170101,1,0,10003
4,1,0,1,唔唔唔唔，\n肌肉训练太难了……\n但是，我要加油……,170101,1,0,10004
5,1,0,1,这里待着超舒服～\n不动声色地\n再多坐一会好了。,170101,1,0,10005
101,1,0,4,嗅嗅，这个味道……\n今天做的是\n汉堡牛肉饼吧！？,170101,1,0,10006
102,1,0,8,我看的漫画\n还挺多的哦！\n想不想听听我的推荐？,170101,1,0,10007
1,1,0,1,你刚刚叫我了？诶，\n没有！？难道是鬼……\n不会不会怎么可能。,170101,2,0,10008
2,1,0,1,可爱的服装\n真让人情绪高涨呀♪\n怎么样？好看吗？,170101,2,0,10009
3,1,0,1,嚯呀！\n我在学习中国拳法！\n可以试试吗？,170101,2,0,10010
4,1,0,1,盯——诶，现在？\n我在观察人类。\n你这个人还挺……,170101,2,0,10011
101,1,0,4,就算已经杀青，\n我也感觉演过的角色\n还活在我的心里。,170101,2,0,10012
102,1,0,8,天哪，这部漫画\n太有意思了！后面呢！\n下一本在哪里！？,170101,2,0,10013
1,1,1,1,啊！糟了。\n看漫画看到天都亮了。\n早上好……,170101,2,0,10014
2,1,2,1,天气这么好，\n出去慢跑好了～,170101,2,0,10015
3,1,3,1,嗯唔～\n睡前做做柔软操好了！,170101,2,0,10016
1,1,0,1,哇，软绵绵的！瘫——\n这个太可怕了，\n要变成废人了。,170101,3,0,10017
2,1,0,1,可爱的东西好治愈啊♪\n要不要在家里\n也摆上一些呢？,170101,3,0,10018
3,1,0,1,超好吃～\n这味道可谓是\n专业！,170101,3,0,10019
4,1,0,1,看着火苗\n就会想吃烧烤呢。,170101,3,0,10020
1,1,0,1,年夜饭好好吃！\n这就是目前\n最幸运的事了！,170201,1,0,10021
2,1,0,1,你的新年初梦是什么？\n我竟然梦到你了哦！\n不过你是食材！,170201,1,0,10022
3,1,0,1,这件振袖和服\n我很喜欢～\n适合我吗？,170201,1,0,10023
4,1,0,1,我把头发束起来了，\n是不是稍微\n成熟了一点？,170201,1,0,10024
5,1,0,1,小可可萝做的\n年糕汤太好吃啦！\n是哪里的家乡菜吗？,170201,1,0,10025
101,1,0,4,从新年到现在，\n我又待了这么久。\n这里待起来太舒服了～,170201,1,0,10026
102,1,0,8,小凯露\n夸我演的电影了！\n虽然是端起架子夸的♪,170201,1,0,10027
1,1,0,1,新年快乐！\n今年也要吃好多好多\n好吃的哦！,170201,2,0,10028
2,1,0,1,什么什么？\n你要给我压岁钱吗？\n谢谢！,170201,2,0,10029
3,1,0,1,我就算穿着振袖和服\n也可以战斗了哦！\n要试试吗？,170201,2,0,10030
4,1,0,1,捣啊捣！\n捣年糕真开心～\n包上红豆，我开动啦！,170201,2,0,10031
101,1,0,4,睡觉的时候少不了\n热水袋啊！\n感冒了可不好！,170201,2,0,10032
102,1,0,8,冬天就会很想\n和人贴贴呢，\n好想抱抱小可可萝……,170201,2,0,10033
1,1,1,1,是新年首次日出啊！\n好漂亮！我也要像那样\n闪闪发光！,170201,2,0,10034
2,1,2,1,我们去买福袋吧！\n不知道会抽到什么的\n赌博感最好玩了！,170201,2,0,10035
3,1,3,1,新年夜\n玩个通宵吧！\n反正明天也放假嘛！,170201,2,0,10036
1,1,0,1,好舒服～就这样躺着过新年也不错嘛～,170201,3,0,10037
2,1,0,1,新年的小首饰\n总是有些小巧思，\n很可爱呀。,170201,3,0,10038
3,1,0,1,吧唧吧唧吧唧吧唧，\n哇啊！吃得太专心，\n把袖子弄脏了！,170201,3,0,10039
4,1,0,1,该烤年糕吗？\n该烤对吧？\n我去拿过来♪,170201,3,0,10040
1,1,0,1,这里没有\n陷入困境的人吧？\n太好了♪,100101,1,0,1
2,1,0,1,做好冒险的准备……\n嗯，没有忘记带什么东西！\n啊！,100101,1,0,2
3,1,0,1,在心中想着节奏……\n一、二，一、二！\n嗯，状态很好,100101,1,0,3
4,1,0,1,可以在这里特训吗？\n我一定会小心\n不弄坏东西的！,100101,1,0,4
5,1,0,1,总感觉心神不宁呢\n难不成，\n附近有遇到\n困难的人吗？,100101,1,0,5
101,1,0,4,嘿嘿……谢谢你\n愿意和我在一起！,100101,1,0,6
102,1,0,8,骑士先生的声音\n我记得很清楚哦……\n那时真是谢谢你了！,100101,1,0,7
1,1,0,1,啊哈哈！\n你居然下手了！\n这是报复！\n咯吱咯吱咯吱……,100101,2,0,8
2,1,0,1,怎么了？\n有什么为难的事吗？\n交给我就好啦！,100101,2,0,9
3,1,0,1,呃……不可以\n乱摸我的尾巴哦？,100101,2,0,10
4,1,0,1,特训没有效果……\n但是不行！\n好不甘心啊！,100101,2,0,11
101,1,0,4,什么？\n中招了！\n不要捏我脸啦～,100101,2,0,12
102,1,0,8,诶嘿嘿……\n骑士先生的手……\n好温暖啊♪,100101,2,0,13
1,1,1,1,早上好！\n今天也要\n精神满满地度过哦！,100101,2,0,14
2,1,2,1,要不要\n让小优衣\n做些点心呢♪,100101,2,0,15
3,1,3,1,小怜之前说过，\n睡觉也是一种修行……,100101,2,0,16
1,1,0,1,必须好好护理，\n不能留下伤疤……,100101,3,0,17
2,1,0,1,只要休息了一次，\n就会一直这样\n怠惰下去……,100101,3,0,18
3,1,0,1,做我新的练习对象……\n啊，开玩笑的！\n我瞎说的啦！,100101,3,0,19
4,1,0,1,好舒服啊～\n不光是心情\n身体也放松了♪,100101,3,0,20
5,1,0,1,待在暖和的地方，\n身体就会\n情不自禁地蜷缩起来……,100101,3,0,21
6,1,0,1,因为不知道\n今后会发生些什么，\n所以必须锻炼好自己,100101,3,0,22
7,1,0,1,虽然好吃，\n但必须克制\n不要吃太多！！,100101,3,0,23
8,1,0,1,字太多了，\n好困，差点睡着……\n好险好险！,100101,3,0,24
1,1,0,1,在心中想着节奏……\n一、二，一、二！\n嗯，状态很好,100102,1,0,26
2,1,0,1,什么也不做\n会有点无聊呢……\n要玩什么吗？,100102,1,0,27
3,1,0,1,我不太擅长\n留下看家……\n因为会觉得寂寞嘛,100102,1,0,28
4,1,0,1,我可以把\n我的朋友叫来吗？\n肯定会很开心！,100102,1,0,29
5,1,0,1,没有遇到困难的人吗？\n……我不知道\n自己该做什么好了,100102,1,0,30
101,1,0,8,骑士先生的声音\n我记得很清楚哦……\n那时真是谢谢你了！,100102,1,0,31
102,1,0,8,为什么\n我会忍不住\n只注视着骑士先生呢……,100102,1,0,32
