end_time,close_time,start_time,teaser_time,count_start_time,dungeon_area_id
2024/05/22 04:59:59,2024/05/25 14:59:59,2024/05/17 05:00:00,2024/05/15 11:00:00,2024/05/21 04:59:59,32001
2024/07/24 04:59:59,2024/07/27 14:59:59,2024/07/19 05:00:00,2024/07/15 11:00:00,2024/07/23 04:59:59,32002
2024/09/21 04:59:59,2024/09/24 14:59:59,2024/09/16 05:00:00,2024/09/14 11:00:00,2024/09/20 04:59:59,32003
2024/11/23 04:59:59,2024/11/26 14:59:59,2024/11/18 05:00:00,2024/11/15 11:00:00,2024/11/22 04:59:59,32004
2025/01/22 04:59:59,2025/01/25 14:59:59,2025/01/17 05:00:00,2025/01/15 11:00:00,2025/01/21 04:59:59,32005
2025/04/14 04:59:59,2025/04/17 14:59:59,2025/04/09 05:00:00,2025/04/08 11:00:00,2025/04/13 04:59:59,32006
2025/05/29 04:59:59,2025/06/01 14:59:59,2025/05/24 05:00:00,2025/05/22 11:00:00,2025/05/28 04:59:59,32007
2025/07/26 04:59:59,2025/07/29 14:59:59,2025/07/21 05:00:00,2025/07/19 11:00:00,2025/07/25 04:59:59,32008
2025/09/14 04:59:59,2025/09/17 14:59:59,2025/09/09 05:00:00,2025/09/06 11:00:00,2025/09/13 04:59:59,32009
2025/12/13 04:59:59,2025/12/16 14:59:59,2025/12/08 05:00:00,2025/12/05 11:00:00,2025/12/12 04:59:59,32010
2026/02/12 04:59:59,2026/02/15 14:59:59,2026/02/07 05:00:00,2026/02/04 11:00:00,2026/02/11 04:59:59,32011
2026/03/27 04:59:59,2026/03/30 14:59:59,2026/03/22 05:00:00,2026/03/19 11:00:00,2026/03/26 04:59:59,32012
2026/05/27 04:59:59,2026/05/30 14:59:59,2026/05/22 05:00:00,2026/05/19 11:00:00,2026/05/26 04:59:59,32013
2026/06/27 04:59:59,2026/06/30 14:59:59,2026/06/22 05:00:00,2026/06/19 11:00:00,2026/06/26 04:59:59,32014
