help_index,start_time,banner_y,series_event_id,condition_shiori_quest_id,condition_story_id,gojuon_order,event_id,condition_main_quest_id,original_event_id,original_start_time,condition_chara_id,end_time
1,2022/03/13 11:00:00,-6,0,0,0,5032,20001,0,10001,2020/05/15 11:00:00,0,2088/06/15 11:00:00
1,2022/04/15 11:00:00,-3,0,0,0,8101,20002,0,10002,2020/06/08 11:00:00,0,2088/06/15 11:00:00
1,2022/05/15 11:00:00,-8,0,0,0,201,20003,0,10003,2020/07/06 11:00:00,0,2088/06/15 11:00:00
"1,2",2022/06/14 11:00:00,-5,0,0,0,3394,20004,0,10004,2020/08/19 19:00:00,0,2088/06/15 11:00:00
"1,4",2022/07/13 11:00:00,-3,0,0,0,3060,20005,0,10005,2020/09/16 19:00:00,0,2088/06/15 11:00:00
1,2022/08/15 11:00:00,-5,0,0,0,1412,20006,0,10006,2020/10/14 19:00:00,0,2088/06/15 11:00:00
"1,5",2022/09/19 11:00:00,-2,0,0,0,3481,20007,0,10007,2020/10/26 11:00:00,0,2088/06/15 11:00:00
1,2022/10/14 11:00:00,-3,0,0,0,3490,20008,0,10008,2020/11/23 11:00:00,0,2088/06/15 11:00:00
"1,6",2022/11/21 11:00:00,0,0,0,0,5402,20009,0,10009,2020/12/20 11:00:00,0,2088/06/15 11:00:00
"1,7",2022/12/21 11:00:00,-5,0,0,0,2192,20010,0,10010,2021/1/18 9:00:00,0,2088/06/15 11:00:00
"1,8",2023/1/17 11:00:00,0,0,0,0,5034,20011,0,10011,2021/02/14 11:00:00,0,2088/06/15 11:00:00
1,2023/2/15 11:00:00,-5,0,0,0,402,20012,0,10012,2021/03/15 11:00:00,0,2088/06/15 11:00:00
"1,9",2023/3/16 11:00:00,-5,0,0,0,22,20013,0,10013,2021/5/15 9:00:00,0,2088/06/15 11:00:00
1,2023/4/09 9:00:00,-8,0,0,0,2174,20014,0,10015,2021/06/14 11:00:00,0,2088/06/15 11:00:00
"1,10",2023/5/15 11:00:00,3,0,0,0,2222,20015,0,10019,2021/07/12 11:00:00,0,2088/06/15 11:00:00
"1,11",2023/6/16 11:00:00,0,0,0,0,6040,20016,0,10021,2021/08/09 11:00:00,0,2088/06/15 11:00:00
1,2023/7/14 11:00:00,-4,0,0,0,6481,20017,0,10023,2021/8/31 12:00:00,0,2088/06/15 11:00:00
"1,12",2023/8/15 11:00:00,0,0,0,0,8152,20018,0,10025,2021/10/04 11:00:00,0,2088/06/15 11:00:00
1,2023/9/15 11:00:00,-2,0,0,0,3420,20019,0,10027,2021/11/1 11:00:00,0,2088/06/15 11:00:00
"1,13",2023/10/13 11:00:00,-5,0,0,0,5283,20020,0,10029,2021/11/30 11:00:00,0,2088/06/15 11:00:00
"1,14",2023/11/15 11:00:00,-4,0,0,0,1311,20021,0,10031,2021/12/31 11:00:00,0,2088/06/15 11:00:00
