class_id,action_value_1,action_type,action_detail_1,action_id,action_value_4,target_assignment,action_detail_2,action_detail_3,target_count,target_range,description,target_area,action_value_6,target_type,level_up_disp,action_value_5,target_number,action_value_3,action_value_2,action_value_7
1,30.0,1,1,100100101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,单体物理伤害+{0},0.0,0,2.4,30.0,0.0
1,50.0,3,3,100100102,0.0,1,0,0,99,-1,,1,0.0,3,,0.0,0,500.0,0.0,0.0
1,13.5,1,1,100100103,0.0,1,0,0,99,400,对范围内的敌人造成{0}的物理伤害,2,0.0,3,范围物理伤害+{0},0.0,0,1.08,13.5,0.0
1,20.0,1,1,100100201,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,1.6,20.0,0.0
1,8.0,1,1,100100301,0.0,1,0,0,1,0,对敌方单体造成{0}物理伤害,1,0.0,1,物理伤害+{0},0.0,0,0.6,8.0,0.0
1,1.0,10,10,100100302,12.0,2,1,0,1,0,自身的物理攻击力提升{0},1,0.0,7,物理攻击力提升+{0},0.0,0,11.0,11.0,1.0
1,60.0,1,1,100101101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,单体物理伤害＋{0},0.0,0,4.8,60.0,0.0
1,45.0,1,1,100101102,0.0,1,0,0,99,600,对范围内敌人造成{0}物理伤害,2,0.0,3,范围物理伤害＋{0},0.0,0,3.6,45.0,0.0
1,20.0,1,1,100101201,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,单体物理伤害+{0},0.0,0,1.6,20.0,0.0
1,9.0,1,1,100101202,0.0,1,0,0,99,400,对范围内的敌人造成{0}的物理伤害,2,0.0,3,范围物理伤害+{0},0.0,0,0.72,9.0,0.0
1,1.0,90,2,100150101,1.0,0,0,0,0,0,自身的物理攻击力提升{0},0,0.0,0,物理攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,2,100151101,1.0,0,0,0,0,0,自身的物理攻击力提升{0},0,0.0,0,物理攻击力上升+{0},0.0,0,15.0,240.0,0.0
1,1.0,4,2,100200101,0.45,2,0,0,99,2160,我方全体的生命值回复{0},3,0.0,3,生命值回复量+{0},0.0,0,6.0,6.0,0.0
1,15.0,1,2,100200201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.2,15.0,0.0
1,1.0,10,20,100200301,12.0,2,1,0,99,2160,我方全体的物理防御力提升{0},3,0.0,3,物理防御力提升+{0},0.0,0,0.23,0.23,1.0
1,1.0,4,2,100201101,0.6,2,0,0,99,2160,我方全体的生命值回复{0},3,0.0,3,生命值回复量+{0},0.0,0,8.0,8.0,0.0
1,1.0,10,20,100201102,18.0,2,1,0,99,2160,我方全体的物理防御力提升{0},3,0.0,3,物理防御力提升+{0},0.0,0,1.2,1.2,1.0
1,45.0,6,1,100201103,0.0,2,0,0,99,2160,展开能够屏蔽{0}物理伤害的屏障,3,0.0,3,无效伤害量+{0},0.0,0,18.0,45.0,0.0
1,2.0,8,2,100201104,0.0,2,0,0,99,2160,我方全体的行动速度提升,3,0.0,3,,0.0,0,18.0,0.0,1.0
1,20.0,1,2,100201201,0.0,1,0,0,1,-1,对敌方单体造成{0}的魔法伤害,1,0.0,3,魔法伤害+{0},0.0,0,1.6,20.0,0.0
1,1.0,10,11,100201202,12.0,1,1,0,1,-1,使敌方单体的物理攻击力下降{0},1,0.0,3,物理攻击力下降+{0},0.0,0,7.5,7.5,1.0
1,1.0,90,4,100250101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,4,100251101,1.0,0,0,0,0,0,自身的魔法攻击力提升{0},0,0.0,0,魔法攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,5,100251102,1.0,0,0,0,0,0,自身的魔法防御力提升{0},0,0.0,0,,0.0,0,0.0,30.0,0.0
1,60.0,1,1,100300101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,4.8,60.0,0.0
1,20.0,1,1,100300201,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,1.6,20.0,0.0
1,0.0,28,677,100300301,0.0,2,100300303,100300302,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,0.5,18,1,100300302,0.0,1,100300305,0,1,4320,,1,0.0,3,,0.0,0,1.8,0.0,0.0
1,1.0,18,1,100300303,0.0,1,100300306,0,1,4320,,1,0.0,3,,0.0,0,1.8,0.0,0.0
1,0.0,28,677,100300304,0.0,2,100300306,100300305,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,20.0,1,1,100300305,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,1.6,20.0,0.0
1,40.0,1,1,100300306,0.0,1,0,0,1,-1,,1,0.0,3,,0.0,0,3.2,40.0,0.0
1,120.0,1,1,100301101,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,9.6,120.0,0.0
1,1.0,35,0,100301102,1.0,2,0,0,1,0,在一段时间内附带风之刃,1,0.0,7,,0.0,0,18.0,77.0,0.0
1,1.0,28,677,100301201,0.0,2,100301203,100301202,1,0,,1,0.0,7,,0.0,0,1.0,2.0,0.0
1,20.0,1,1,100301202,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,1.6,20.0,0.0
1,40.0,1,1,100301203,0.0,1,0,0,1,-1,,1,0.0,3,,0.0,0,3.2,40.0,0.0
1,1.0,10,21,100301204,12.0,1,1,0,1,-1,敌方单体的物理防御力降低{0},1,0.0,3,物理防御力降低+{0},0.0,0,0.6,0.6,1.0
1,1.0,10,21,100301205,24.0,1,1,0,1,-1,,1,0.0,3,,0.0,0,1.2,1.2,1.0
1,0.0,28,677,100301301,0.0,2,100301303,100301302,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,40.0,1,1,100301302,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,3.2,40.0,0.0
1,80.0,1,1,100301303,0.0,1,0,0,1,-1,,1,0.0,3,,0.0,0,6.4,80.0,0.0
1,0.0,28,677,100301304,0.0,2,100301306,100301305,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,40.0,1,1,100301305,0.0,1,0,0,1,-1,对敌方单体造成{0}物理伤害,1,0.0,3,物理伤害+{0},0.0,0,3.2,40.0,0.0
1,80.0,1,1,100301306,0.0,1,0,0,1,-1,,1,0.0,3,,0.0,0,6.4,80.0,0.0
1,0.0,28,677,100301307,0.0,2,100301309,100301308,1,0,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,100,1,100301308,0.0,2,0,0,1,-1,使自身受到的无法行动状态无效化（最多1次）,1,0.0,7,,0.0,0,12.0,0.0,0.0
1,2.0,100,1,100301309,0.0,2,0,0,1,-1,,1,0.0,7,,0.0,0,24.0,0.0,0.0
1,-1.0,22,1,100301310,0.0,2,10030102,0,1,-1,,1,0.0,7,,0.0,0,0.0,0.0,0.0
1,1.0,90,2,100350101,1.0,0,0,0,0,0,自身的物理攻击力提升{0},0,0.0,0,物理攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,2,100351101,1.0,0,0,0,0,0,自身的物理攻击力提升{0},0,0.0,0,物理攻击力上升+{0},0.0,0,15.0,15.0,0.0
1,1.0,90,1,100351102,1.0,0,0,0,0,0,使自身的最大生命值提升{0},0,0.0,0,,0.0,0,0.0,1125.0,0.0
1,0.0,7,1,100400101,0.0,1,0,0,1,2160,,2,0.0,3,,0.0,1,0.0,0.0,0.0
1,20.4,1,1,100400102,0.0,1,0,0,99,300,对范围内的敌人造成{0}的物理伤害,2,0.0,1,物理伤害+{0},0.0,0,1.62,20.4,0.0
1,8.0,1,1,100400201,0.0,1,0,0,1,2160,对敌方单体造成{0}物理伤害,3,0.0,3,物理伤害+{0},0.0,1,0.6,8.0,0.0
1,8.0,12,70,100400202,0.0,1,0,0,1,2160,赋予黑暗状态,3,0.0,3,赋予黑暗的成功率等级+1,0.0,1,100.0,0.0,0.0
1,10.0,1,1,100400301,0.0,1,0,0,1,2160,对敌方单体造成{0}物理伤害,2,0.0,14,物理伤害+{0},0.0,0,0.8,10.0,0.0
1,1.0,10,11,100400302,99.0,1,1,0,1,2160,使敌方单体的物理攻击力下降{0},2,0.0,1,物理攻击力下降+{0},0.0,0,3.75,3.75,1.0
