action_4,skill_cast_time,description,depend_action_1,name,action_6,action_1,depend_action_7,icon_type,depend_action_9,depend_action_6,action_8,skill_area_width,depend_action_4,depend_action_3,action_5,depend_action_10,depend_action_5,depend_action_8,action_2,action_7,boss_ub_cool_time,skill_type,action_9,depend_action_2,skill_id,action_3,action_10
0,0.0,对前方一名敌人造成物理伤害（大），并对自身周围的所有敌人造成物理伤害（中）。,0,日和莉突击,0,100100101,0,1001,0,0,0,0,0,0,0,0,0,0,100100102,0,0.0,0,0,100100102,1001001,100100103,0
0,1.125,对前方一名敌人造成物理伤害（中）。,0,猫咪重击,0,100100201,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1001002,0,0
0,1.295,对前方一名敌人造成物理伤害（小），并中幅提升自身物理攻击力。,0,猫咪组合拳,0,100100301,0,2001,0,0,0,0,0,0,0,0,0,0,100100302,0,0.0,0,0,0,1001003,0,0
0,0.0,对前方一名敌人造成物理伤害（特大），并对自身周围的所有敌人造成物理伤害（大）。,0,日和莉燃烧冲击,0,100101101,0,1001,0,0,0,0,0,0,0,0,0,0,100101102,0,0.0,0,0,0,1001011,0,0
0,1.125,对前方一名敌人造成物理伤害（大），并对自身周围的所有敌人造成物理伤害（小）。,0,猫咪重击+,0,100101201,0,2001,0,0,0,0,0,0,0,0,0,0,100101202,0,0.0,0,0,0,1001012,0,0
0,0.0,战斗开始时，中幅提升自身的物理攻击力。,0,肉球力量！,0,100150101,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1001501,0,0
0,0.0,战斗开始时，大幅提升自身的物理攻击力。,0,肉球力量！+,0,100151101,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1001511,0,0
0,0.0,中幅回复我方全体生命力。,0,全体治愈,0,100200101,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1002001,0,0
0,1.6,对前方一名敌人造成魔法伤害（中）。,0,花瓣射击,0,100200201,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1002002,0,0
0,1.46,小幅提升我方全体的物理防御力。,0,花之庇护,0,100200301,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1002003,0,0
100201104,0.0,中幅回复我方全体的生命值，大幅提升物理防御力，展开使物理攻击无效化的屏障，并大幅提升行动速度。,0,花开治愈,0,100201101,0,1005,0,0,0,0,0,0,0,0,0,0,100201102,0,0.0,1,0,0,1002011,100201103,0
0,1.6,对前方一名敌人造成魔法伤害（中），并中幅降低其物理攻击力。,0,花瓣射击+,0,100201201,0,2002,0,0,0,0,0,0,0,0,0,0,100201202,0,0.0,1,0,100201201,1002012,0,0
0,0.0,战斗开始时，中幅提升自身的魔法攻击力。,0,花之灵息,0,100250101,0,3003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1002501,0,0
0,0.0,战斗开始时，中幅提升自身魔法攻击力，并小幅提升自身魔法防御力。,0,花之灵息+,0,100251101,0,3003,0,0,0,0,0,0,0,0,0,0,100251102,0,0.0,0,0,0,1002511,0,0
0,0.0,对前方一名敌人造成物理伤害（特大）。,0,斩刃风暴,0,100300101,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1003001,0,0
0,0.955,对前方一名敌人造成物理伤害（中）。,0,狂风突刺,0,100300201,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1003002,0,0
100300304,1.3275,对前方一名敌人造成物理伤害（中）。怜在攻击准备期间所受到的伤害越高，对敌人造成的伤害也会相应提高。,0,反击斩,100300306,100300301,0,2001,0,0,0,0,0,0,100300305,0,0,0,100300302,0,0.0,0,0,0,1003003,100300303,0
0,0.0,对前方一名敌人造成物理伤害（特大），并赋予风之刃状态。此状态期间，技能的效果值变成2倍。,0,暴风斩击,0,100301101,0,1001,0,0,0,0,0,0,0,0,0,0,100301102,0,0.0,0,0,0,1003011,0,0
100301204,0.955,对前方一名敌人造成物理伤害（中），并小幅降低其物理防御力。,0,狂风突刺+,0,100301201,0,2001,0,0,0,0,100301202,0,100301205,0,100301203,0,100301202,0,0.0,0,0,0,1003012,100301203,0
100301304,0.0,对前方一名敌人造成2次物理伤害（大），免疫1次来自敌人的行动受阻效果。此外，行动模式发生变化。,0,反击斩+,100301306,100301301,0,2001,0,0,100301308,0,0,0,100301305,0,0,0,100301302,100301307,0.0,0,100301309,0,1003013,100301303,100301310
0,0.0,战斗开始时，中幅提升自身的物理攻击力。,0,迅捷剑姬,0,100350101,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1003501,0,0
0,0.0,战斗开始时，中幅提升自身的物理攻击力，并小幅提升自身的最大生命值。,0,迅捷剑姬+,0,100351101,0,3001,0,0,0,0,0,0,0,0,0,0,100351102,0,0.0,0,0,0,1003511,0,0
0,0.0,以距离自身第二近的敌人为中心，对范围内的所有敌人造成物理伤害（中）。,0,捣蛋炸弹,0,100400101,0,1001,0,0,0,0,0,0,0,0,0,0,100400102,0,0.0,0,0,100400101,1004001,0,0
0,1.55,对距离自身第二近的一名敌人造成物理伤害（小），并施加黑暗状态。,0,墨水射击,0,100400201,0,2010,0,0,0,0,0,0,0,0,0,0,100400202,0,0.0,0,0,100400201,1004002,0,0
0,1.18,对物理攻击力最高的一名敌人造成物理伤害（小），并小幅降低其物理攻击力，同时小幅提升自身物理攻击力。,0,水球投掷,0,100400301,0,2004,0,0,0,0,0,0,0,0,0,0,100400302,0,0.0,0,0,100400301,1004003,100400303,0
100401104,0.0,对敌方全体造成物理伤害（大），特大幅度降低其物理攻击力和物理暴击，并中幅降低在物理暴击时造成的伤害。,0,捣蛋之心,0,100401101,0,1001,0,0,0,0,100401101,100401101,0,0,0,0,100401102,0,0.0,0,0,100401101,1004011,100401103,0
100401204,1.55,对距离自身第二近的一名敌人造成物理伤害（中），赋予黑暗状态。并小幅降低范围内所有敌人的物理攻击力。,0,墨水射击+,0,100401201,0,2010,0,0,0,0,100401203,0,0,0,0,0,100401202,0,0.0,0,0,100401201,1004012,100401203,0
0,0.0,战斗开始时，中幅提升自身的物理防御力。,0,陷阱专家,0,100450101,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1004501,0,0
0,0.0,战斗开始时，中幅提升自身物理防御力，并小幅提升自身物理攻击力。,0,陷阱专家+,0,100451101,0,3002,0,0,0,0,0,0,0,0,0,0,100451102,0,0.0,0,0,0,1004511,0,0
0,0.0,飞跃至前方第三名敌人的面前，对其周围的所有敌人造成物理伤害（大）。,0,英雄虎爆弹,0,100500101,0,1001,0,0,0,0,0,100500102,0,0,0,0,100500102,0,0.0,0,0,0,1005001,100500103,0
0,0.76,对自身前后范围内的敌人造成物理伤害（小），并使其眩晕。,0,虎之震击,0,100500201,0,2018,0,0,0,0,0,0,0,0,0,0,100500202,0,0.0,0,0,100500201,1005002,0,0
0,1.5,对自身前后范围内的敌人造成物理伤害（小）。,0,虎之风车,0,100500301,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1005003,0,0
100501104,0.0,飞跃到前面第三个敌人的面前，以其为中心，对范围内的所有敌方造成物理伤害（大）。并为自身展开使物理/魔法攻击无效化的屏障。自身生命值越低，造成的伤害和屏障无效化的伤害量越大。,0,夜幕奇袭,100501106,100501101,0,1001,0,0,0,0,0,100501102,100501105,0,0,0,100501102,0,0.0,0,0,0,1005011,100501103,0
100501204,0.76,对自身前后范围内的敌人造成物理伤害（小），并使其眩晕。同时特大幅提升自身的物理防御力和魔法防御力。,0,虎之震击+,0,100501201,0,2018,0,0,0,0,0,0,0,0,0,0,100501202,0,0.0,0,0,100501201,1005012,100501203,0
0,0.0,战斗开始时，中幅提升自身的物理攻击力。,0,英雄的心得,0,100550101,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1005501,0,0
0,0.0,战斗开始时，中幅提升自身的物理攻击力，并小幅提升自身的物理防御力。,0,英雄的心得+,0,100551101,0,3001,0,0,0,0,0,0,0,0,0,0,100551102,0,0.0,0,0,0,1005511,0,0
0,0.0,小幅提升我方全体的魔法攻击力，并根据下次攻击的伤害量回复生命值。,0,甜蜜恶魔声援,0,100600101,0,1003,0,0,0,0,0,0,0,0,0,0,100600102,0,0.0,1,0,0,1006001,0,0
0,1.18,对前方一名敌人造成魔法伤害（中）。,0,暗影伏特,0,100600201,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1006002,0,0
0,1.25,大幅降低前方一名敌人的魔法防御力。,0,小恶魔之吻,0,100600301,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1006003,0,0
100601104,0.0,特大幅提升我方全体的魔法攻击力，大幅提升魔法暴击，并根据下次攻击的伤害量额外回复生命值。同时小幅降低敌方全体的魔法防御力。,0,消融的恶魔魅惑,0,100601101,0,1003,0,0,0,0,0,0,0,0,0,0,100601102,0,0.0,1,0,0,1006011,100601103,0
0,1.18,对前方一名敌人造成魔法伤害（大），并小幅降低其魔法防御力。,0,暗影伏特+,0,100601201,0,2002,0,0,0,0,0,0,0,0,0,0,100601202,0,0.0,0,0,100601201,1006012,0,0
0,0.0,中幅提升我方全体的魔法攻击力，并根据下次攻击的伤害量回复生命值。,0,甜蜜恶魔声援,0,100620101,0,1003,0,0,0,0,0,0,0,0,0,0,100620102,0,0.0,1,0,0,1006201,0,0
100621104,0.0,特大幅提升我方全体的魔法攻击力，大幅提升魔法暴击，并根据下次攻击的伤害量额外回复生命值。同时小幅降低敌方全体的魔法防御力。,0,消融的恶魔魅惑,0,100621101,0,1003,0,0,0,0,0,0,0,0,0,0,100621102,0,0.0,1,0,0,1006211,100621103,0
0,0.0,战斗开始时，中幅提升自身的魔法攻击力。,0,炙热甜蜜,0,100650101,0,3003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1006501,0,0
0,0.0,战斗开始时，大幅提升自身的魔法攻击力。,0,炙热甜蜜+,0,100651101,0,3003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1006511,0,0
0,0.0,对前方一名敌人造成物理伤害（大），并中幅回复自身生命值。,0,把你变成布丁,0,100700101,0,1001,0,0,0,0,0,0,0,0,0,0,100700102,0,0.0,1,0,0,1007001,0,0
0,0.0,【变身】变身为幽灵，短时间内处于无敌状态。,0,我～好～恨～啊,0,100700201,0,2017,0,0,0,0,0,100700202,0,0,0,0,100700202,0,0.0,0,0,0,1007002,100700203,0
0,0.27,中幅回复自身生命值。,0,点心时间到了,0,100700301,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1007003,0,0
0,0.0,对前方一名敌人造成物理伤害（特大），并中幅回复自身的生命值、中幅提升回避。,0,把你们全～都变成布丁,0,100701101,0,1001,0,0,0,0,0,0,0,0,0,0,100701102,0,0.0,1,0,0,1007011,100701103,0
100701204,0.0,【变身】变身为幽灵，短时间内处于无敌状态。同时，中幅提升自身的回避，并大幅提升物理防御力。,0,我～好～恨～啊+,0,100701201,0,2017,0,0,0,0,0,100701202,100701205,0,0,0,100701202,0,0.0,0,0,0,1007012,100701203,0
100720204,0.0,【变身】变身为幽灵，短时间内处于无敌状态，小幅提升自身的物理防御力。,0,我～好～恨～啊,0,100720201,0,2017,0,0,0,0,0,100720202,0,0,0,0,100720202,0,0.0,0,0,0,1007202,100720203,0
0,0.0,对前方一名敌人造成物理伤害（特大），并中幅回复自身的生命值、中幅提升回避。,0,把你们全～都变成布丁,0,100721101,0,1001,0,0,0,0,0,0,0,0,0,0,100721102,0,0.0,1,0,0,1007211,100721103,0
100721204,0.0,【变身】变身为幽灵，短时间内处于无敌状态。同时，中幅提升自身的回避，并大幅提升物理防御力。,0,我～好～恨～啊+,0,100721201,0,2017,0,0,0,0,0,100721202,100721205,0,0,0,100721202,0,0.0,0,0,0,1007212,100721203,0
0,0.0,战斗开始时，中幅提升自身的物理防御力。,0,透明妖怪来咯~,0,100750101,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1007501,0,0
0,0.0,战斗开始时，大幅提升自身的物理防御力。,0,透明妖怪来咯~+,0,100751101,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1007511,0,0
0,0.0,对敌方全体造成魔法伤害（小），并小幅降低其物理防御力。,0,拜倒在我的美貌之下吧！,0,100800101,0,1002,0,0,0,0,0,0,0,0,0,0,100800102,0,0.0,1,0,100800101,1008001,0,0
0,1.93,对距离自身第二近的一名敌人造成魔法伤害（中），并赋予黑暗状态。,0,我那令人目眩的美貌♪,0,100800201,0,2010,0,0,0,0,0,0,0,0,0,0,100800202,0,0.0,1,0,100800201,1008002,0,0
0,1.6,中幅回复我方技能值最高的一名角色的技能值。,0,可爱的我会为你加油的♪,0,100800301,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1008003,0,0
0,0.0,若敌方全体的物理防御力低于魔法防御力，则追加魔法伤害（中）并对其造成中幅物理伤害，中幅降低物理防御力，并使其陷入魅惑状态。,0,请看美丽之神的降临！,0,100801101,0,1002,0,0,0,0,0,100801101,0,0,0,0,100801102,0,0.0,1,0,100801101,1008011,100801103,0
0,1.93,对距离自身第二近的一名敌人造成魔法伤害（中），并赋予黑暗状态和魅惑状态。,0,我那令人目眩的美貌♪+,0,100801201,0,2010,0,0,0,0,0,100801201,0,0,0,0,100801202,0,0.0,1,0,100801201,1008012,100801203,0
