reward_value_1,end_time,lock_all_text,visible_type,reward_id_3,story_quest_id,story_id,reward_type_1,story_end,start_time,pre_story_id,reward_id_1,sub_title,unlock_quest_id,reward_type_3,reward_value_2,title,love_level,force_unlock_time,requirement_id,force_unlock_time_2,reward_id_2,reward_value_3,reward_type_2,story_group_id,unknown_2,unknown_1,pre_story_id_2
20,2099/12/31 23:59:59,0,0,0,0,1001001,8,0,2020/01/01 0:00:00,0,91002,有困难的时候要互相帮助,0,0,0,日和莉 第1话,0,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1001002,8,0,2020/01/01 0:00:00,1001001,91002,拉钩立誓,0,0,0,日和莉 第2话,2,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1001003,8,0,2020/01/01 0:00:00,1001002,91002,为笑容而许下心愿,0,0,0,日和莉 第3话,3,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001004,8,0,2020/01/01 0:00:00,1001003,91002,迷路猫少女,0,0,0,日和莉 第4话,4,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1001005,8,0,2020/01/01 0:00:00,1001004,91002,抓尾巴是犯规的？,0,0,0,日和莉 第5话,5,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1001006,8,0,2020/01/01 0:00:00,1001005,91002,想休息却无法休息！,0,0,0,日和莉 第6话,6,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1001007,8,0,2020/01/01 0:00:00,1001006,91002,把胜利献给你,0,0,0,日和莉 第7话,7,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001008,8,0,2020/01/01 0:00:00,1001007,91002,明明想要大喊加油,0,0,0,日和莉 第8话,8,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001009,8,0,2022/02/28 09:00:00,1001008,91002,心痒的秘密,0,0,0,日和莉 第9话,9,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001010,8,0,2022/02/28 09:00:00,1001009,91002,应该拯救的恶人,0,0,0,日和莉 第10话,10,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001011,8,0,2022/02/28 09:00:00,1001010,91002,迷途猫的回忆,0,0,0,日和莉 第11话,11,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
50,2099/12/31 23:59:59,0,0,0,0,1001012,8,0,2022/02/28 09:00:00,1001011,91002,心动带来的力量,0,0,0,日和莉 第12话,12,2099/12/31 23:59:59,100101,2099/12/31 23:59:59,0,0,0,1001,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1002001,8,0,2020/01/01 0:00:00,0,91002,下次一定……,0,0,0,优衣 第1话,0,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
20,2099/12/31 23:59:59,0,0,0,0,1002002,8,0,2020/01/01 0:00:00,1002001,91002,一起吃午饭！,0,0,0,优衣 第2话,2,2099/12/31 23:59:59,100201,2099/12/31 23:59:59,0,0,0,1002,1,1,0
