id,reward_group_id,reward_id_2,reward_type_1,reward_type_2,reward_num_3,reward_type_3,reward_num_1,reward_id_1,reward_id_3,reward_num_2
1,281001001,25021,8,2,31,2,10,91002,25011,8
2,281001002,25021,8,2,31,2,10,91002,25011,8
3,281001003,25021,8,2,32,2,10,91002,25011,8
4,281001004,25021,8,2,32,2,10,91002,25011,8
5,281001005,25021,8,2,33,2,10,91002,25011,8
6,281001006,25021,8,2,33,2,10,91002,25011,9
7,281001007,25021,8,2,34,2,10,91002,25011,9
8,281001008,25021,8,2,35,2,10,91002,25011,9
9,281001009,25021,8,2,35,2,10,91002,25011,9
10,281001010,25021,8,2,37,2,30,91002,25011,10
11,281001011,25021,8,2,41,2,10,91002,25011,10
12,281001012,25021,8,2,43,2,10,91002,25011,11
13,281001013,25021,8,2,46,2,10,91002,25011,11
14,281001014,25021,8,2,48,2,10,91002,25011,12
15,281001015,25021,8,2,50,2,10,91002,25011,12
16,281001016,25021,8,2,53,2,10,91002,25011,13
17,281001017,25021,8,2,55,2,10,91002,25011,14
18,281001018,25021,8,2,58,2,10,91002,25011,14
19,281001019,25021,8,2,60,2,10,91002,25011,15
20,281001020,25021,8,2,62,2,30,91002,25011,15
21,281001021,25021,8,2,68,2,10,91002,25011,16
22,281001022,25021,8,2,70,2,10,91002,25011,16
23,281001023,25021,8,2,72,2,10,91002,25011,16
24,281001024,25021,8,2,75,2,10,91002,25011,17
25,281001025,25021,8,2,77,2,10,91002,25011,18
26,281001026,25021,8,2,79,2,10,91002,25011,18
27,281001027,25021,8,2,82,2,10,91002,25011,19
28,281001028,25021,8,2,84,2,10,91002,25011,19
29,281001029,25021,8,2,86,2,10,91002,25011,19
30,281001030,25021,8,2,89,2,30,91002,25011,20
31,281001031,25021,8,2,94,2,10,91002,25011,20
32,281001032,25021,8,2,96,2,10,91002,25011,21
33,281001033,25021,8,2,99,2,10,91002,25011,21
34,281001034,25021,8,2,101,2,10,91002,25011,22
35,281001035,25021,8,2,103,2,10,91002,25011,22
36,281001036,25021,8,2,106,2,10,91002,25011,23
37,281001037,25021,8,2,108,2,10,91002,25011,23
38,281001038,25021,8,2,111,2,10,91002,25011,24
39,281001039,25021,8,2,113,2,10,91002,25011,25
40,281001040,25021,8,2,115,2,30,91002,25011,25
41,281001041,25021,8,2,121,2,10,91002,25011,26
42,281001042,25021,8,2,123,2,10,91002,25011,27
43,281001043,25021,8,2,125,2,10,91002,25011,28
44,281001044,25021,8,2,128,2,10,91002,25011,28
45,281001045,25021,8,2,130,2,10,91002,25011,29
46,281001046,25021,8,2,132,2,10,91002,25011,30
47,281001047,25021,8,2,135,2,10,91002,25011,30
48,281001048,25021,8,2,137,2,10,91002,25011,31
49,281001049,25021,8,2,139,2,10,91002,25011,31
50,281001050,25021,8,2,142,2,30,91002,25011,31
51,281001051,25021,8,2,144,2,10,91002,25011,32
52,281001052,25021,8,2,146,2,10,91002,25011,32
53,281001053,25021,8,2,149,2,10,91002,25011,32
54,281001054,25021,8,2,152,2,10,91002,25011,33
55,281001055,25021,8,2,155,2,10,91002,25011,33
56,281001056,25021,8,2,157,2,10,91002,25011,33
57,281001057,25021,8,2,160,2,10,91002,25011,34
58,281001058,25021,8,2,163,2,10,91002,25011,34
59,281001059,25021,8,2,166,2,10,91002,25011,34
60,281001060,25021,8,2,169,2,30,91002,25011,35
61,281001061,25021,8,2,171,2,10,91002,25011,35
62,281001062,25021,8,2,174,2,10,91002,25011,35
63,281001063,25021,8,2,177,2,10,91002,25011,36
64,281001064,25021,8,2,180,2,10,91002,25011,36
65,281001065,25021,8,2,182,2,10,91002,25011,36
66,281001066,25021,8,2,185,2,10,91002,25011,37
67,281001067,25021,8,2,187,2,10,91002,25011,37
68,281001068,25021,8,2,190,2,10,91002,25011,37
69,281001069,25021,8,2,193,2,10,91002,25011,38
70,281001070,25021,8,2,196,2,30,91002,25011,38
71,281001071,25021,8,2,200,2,10,91002,25011,39
72,281001072,25021,8,2,204,2,10,91002,25011,39
73,281001073,25021,8,2,208,2,10,91002,25011,40
74,281001074,25021,8,2,212,2,10,91002,25011,40
75,281001075,25021,8,2,216,2,10,91002,25011,41
76,281001076,25021,8,2,220,2,10,91002,25011,41
77,281001077,25021,8,2,224,2,10,91002,25011,42
78,281001078,25021,8,2,228,2,10,91002,25011,42
79,281001079,25021,8,2,232,2,10,91002,25011,43
80,281001080,25021,8,2,236,2,30,91002,25011,43
