main_skill_lv_2,rarity,dodge,name,energy_recovery_rate,energy_reduce_rate,break_durability,main_skill_lv_4,physical_critical,main_skill_lv_10,main_skill_lv_1,life_steal,resist_status_id,ex_skill_lv_2,main_skill_lv_8,main_skill_lv_9,ex_skill_lv_5,magic_str,wave_energy_recovery,unit_id,atk,magic_critical,def,unique_equipment_flag_1,accuracy,union_burst_level,ex_skill_lv_4,main_skill_lv_6,wave_hp_recovery,main_skill_lv_3,enemy_id,main_skill_lv_7,level,ex_skill_lv_3,virtual_hp,physical_penetrate,magic_def,hp_recovery_rate,hp,promotion_level,main_skill_lv_5,magic_penetrate,ex_skill_lv_1,resist_variation_id
3010,0,0,暴君巨龟,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,251100,156,0,1057,0,42,3010,0,0,0,3010,810100101,0,301,0,0,0,1585,0,1660167,1,3010,0,0,0
3010,0,0,蓝色魔像,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,250800,204,0,422,0,42,3010,0,0,0,3010,810100102,0,301,0,0,0,2536,0,2397387,1,3010,0,0,0
3010,0,0,会动的剑士,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,251000,462,0,845,0,42,3010,0,0,0,3010,810100103,0,301,0,0,0,1902,0,1693693,1,3010,0,0,0
301,6,26,纯的暗影,30,5,0,301,536,0,301,0,200000001,0,0,0,0,0,0,604701,3329,0,1787,1,42,301,0,0,0,301,810100104,0,301,0,0,0,2050,69,1190448,32,301,0,0,0
301,6,34,碧的暗影,29,2,0,301,1165,0,301,0,200000001,0,0,0,0,0,0,604001,6925,0,856,1,67,301,0,0,0,301,810100105,0,301,0,0,0,866,55,565544,32,301,0,0,0
100,1,1,爆发敌人,0,0,0,0,0,0,0,0,300000008,0,0,0,0,0,0,217300,0,0,0,0,100,0,0,5000,0,100,810100106,150,301,0,0,0,0,0,1000000000,1,0,0,0,0
0,1,1,爆发敌人,0,0,0,250,0,0,0,0,300000008,0,0,0,0,0,0,217301,0,0,0,0,100,0,0,0,0,0,810100107,0,301,0,0,0,0,0,1000000000,1,0,0,0,0
3010,0,0,魔界守门人,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,15693,0,251500,0,0,1510,0,42,3010,0,0,0,3010,810100201,0,301,0,0,0,2265,0,5862568,1,3010,0,0,0
3010,0,0,上位兽人,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,252900,5318,0,906,0,42,3010,0,0,0,3010,810100202,0,301,0,0,0,2265,0,7557183,1,3010,0,0,0
3010,0,0,淘气豆狸,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,3487,0,250600,0,0,604,0,42,3010,0,0,0,3010,810100203,0,301,0,0,0,906,0,8817438,1,3010,0,0,0
301,5,12,空花（大江户）的暗影,19,20,0,301,0,0,301,0,200000001,0,0,0,0,13901,0,609501,0,120,2191,1,42,301,0,0,0,301,810100204,0,301,0,0,0,3031,207,5287114,32,301,0,0,0
301,5,0,凯露（新年）的暗影,24,17,0,301,0,0,301,0,200000001,0,0,0,0,33886,0,612001,0,2239,385,1,42,301,0,0,0,301,810100205,0,301,0,0,0,457,45,3292795,32,301,0,0,0
3010,0,0,丛林守护者,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,251300,8814,0,906,0,42,3010,0,0,0,3010,810100301,0,301,0,0,0,2265,0,8734904,1,3010,0,0,0
301,5,3,克莉丝提娜（圣诞节）的暗影,27,1,0,301,2062,0,301,0,200000001,0,0,0,0,0,0,611502,43840,0,476,1,44,301,0,0,0,301,810100302,0,301,0,0,0,406,30,5186139,32,301,0,0,0
301,6,12,栞的暗影,38,0,0,301,1921,0,301,0,200000001,0,0,0,0,0,0,603801,45320,0,646,1,65,301,0,0,0,301,810100303,0,301,0,0,0,853,35,4764712,32,301,0,0,0
301,5,5,璃乃（仙境）的暗影,34,0,0,301,2026,0,301,0,200000001,0,0,0,0,0,0,612901,42130,0,489,1,65,301,0,0,0,301,810100304,0,301,0,0,0,700,30,4300082,32,301,0,0,0
3010,0,0,鬼灯草虫,0,0,0,3010,0,0,3010,0,200000001,0,0,0,0,0,0,258300,17600,0,604,0,42,3010,0,0,0,3010,810100305,0,301,0,0,0,906,903,8354042,1,3010,0,0,0
3020,0,0,暴君巨龟,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,0,0,251100,9724,0,1515,0,42,3020,0,0,0,3020,810100401,0,302,0,0,0,2273,0,10244800,1,3020,0,0,0
3020,0,200,小型哥布林,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,0,0,250300,11670,0,303,0,42,3020,0,0,0,3020,810100402,0,302,0,0,0,1364,0,13243084,1,3020,0,0,0
3020,0,0,淘气豆狸,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,6528,0,250600,0,0,606,0,42,3020,0,0,0,3020,810100403,0,302,0,0,0,909,0,12323722,1,3020,0,0,0
302,5,24,千爱瑠的暗影,40,15,0,302,2391,0,302,0,200000001,0,0,0,0,0,0,610901,52112,0,772,1,62,302,0,0,0,302,810100404,0,302,0,0,0,580,20,6746755,32,302,0,0,0
302,5,28,望（圣诞节）的暗影,20,4,0,302,652,0,302,0,200000001,0,0,0,0,0,0,611602,28169,0,2744,1,42,302,0,0,0,302,810100405,0,302,0,0,0,1882,114,7957592,32,302,0,0,0
3020,0,0,魔像,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,0,0,250700,9951,0,2424,0,42,3020,0,0,0,3020,810100501,0,302,0,0,0,909,0,12217327,1,3020,0,0,0
3020,0,0,火焰啫喱怪,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,35424,0,252700,0,0,909,0,42,3020,0,0,0,3020,810100502,0,302,0,0,0,1364,0,11048088,1,3020,0,0,0
302,5,10,智（魔法少女）的暗影,30,0,0,302,2110,0,302,0,200000001,0,0,0,0,0,0,614301,53888,1208,499,1,71,302,0,0,0,302,810100503,0,302,0,0,0,432,36,8027121,32,302,0,0,0
302,5,0,七七香（夏日）的暗影,20,29,0,302,0,0,302,0,200000001,0,0,0,0,51298,0,613301,0,1023,559,1,42,302,0,0,0,302,810100504,0,302,0,0,0,841,146,8146777,32,302,0,0,0
3020,0,0,铃兰虫,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,25403,0,258400,0,0,303,0,42,3020,0,0,0,3020,810100505,0,302,0,0,0,455,906,13418414,1,3020,0,0,0
302,6,21,佩可莉姆的暗影,26,5,0,302,493,0,302,0,200000001,0,0,0,0,0,0,605802,27753,0,2493,1,42,302,0,0,0,302,810100601,0,302,0,0,0,2313,140,11033748,32,302,0,0,0
3020,0,0,沙铠野猪,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,0,0,253200,12951,0,1212,0,42,3020,0,0,0,3020,810100602,0,302,0,0,0,1818,0,12297640,1,3020,0,0,0
302,6,20,日和莉的暗影,49,15,0,302,2194,0,302,0,200000001,0,0,0,0,0,0,600101,62481,0,856,1,62,302,0,0,0,302,810100603,0,302,0,0,0,727,20,9189303,32,302,0,0,0
302,6,3,千歌的暗影,19,21,0,302,0,0,302,0,200000001,0,0,0,0,48319,0,604201,0,522,1451,1,42,302,0,0,0,302,810100604,0,302,0,0,0,1743,2740,9140499,32,302,0,0,0
3020,0,0,气球鸟,0,0,0,3020,0,0,3020,0,200000001,0,0,0,0,0,0,257600,1957,0,909,0,42,3020,0,0,0,3020,810100605,0,302,0,0,0,1364,906,11258510,1,3020,0,0,0
3030,0,0,魔像,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,250700,9953,0,2432,0,42,3030,0,0,0,3030,810100701,0,303,0,0,0,912,0,12976749,1,3030,0,0,0
3030,0,0,淘气豆狸,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,6526,0,250600,0,0,608,0,42,3030,0,0,0,3030,810100702,0,303,0,0,0,912,0,14306969,1,3030,0,0,0
3030,0,0,会动的战士雕像,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,250900,11784,0,1824,0,42,3030,0,0,0,3030,810100703,0,303,0,0,0,1824,0,12098087,1,3030,0,0,0
303,5,12,空花（黑暗）的暗影,15,20,0,303,0,0,303,0,200000001,0,0,0,0,26088,0,619101,0,130,2650,1,42,303,0,0,0,303,810100704,0,303,0,0,0,2167,86,10708529,32,303,0,0,0
303,6,15,亚里莎的暗影,35,0,0,303,1984,0,303,0,200000001,0,0,0,0,0,0,606301,56723,0,548,1,75,303,0,0,0,303,810100705,0,303,0,0,0,773,40,8710513,32,303,0,0,0
3030,0,0,魔界守门人,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,26865,0,251500,0,0,1520,0,42,3030,0,0,0,3030,810100801,0,303,0,0,0,2280,0,10975615,1,3030,0,0,0
3030,0,0,会动的剑士,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,251000,11903,0,1216,0,42,3030,0,0,0,3030,810100802,0,303,0,0,0,2736,0,12063237,1,3030,0,0,0
303,5,6,依里（天使）的暗影,23,18,0,303,0,0,303,0,200000001,0,0,0,0,32023,0,613801,0,198,1815,1,42,303,0,0,0,303,810100803,0,303,0,0,0,2683,1580,9483730,32,303,0,0,0
3030,0,0,垂耳翼兔,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,46833,0,256000,0,0,456,0,42,3030,0,0,0,3030,810100804,0,303,0,0,0,684,0,11869295,1,3030,0,0,0
303,6,0,凯露（夏日）的暗影,34,18,0,303,0,0,303,0,200000001,0,0,0,0,59172,0,607801,0,2393,507,1,42,303,0,0,0,303,810100805,0,303,0,0,0,596,45,8824926,32,303,0,0,0
3030,0,0,丛林守护者,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,251300,11557,0,912,0,42,3030,0,0,0,3030,810100901,0,303,0,0,0,2280,0,13035517,1,3030,0,0,0
303,6,26,纯的暗影,30,5,0,303,536,0,303,0,200000001,0,0,0,0,0,0,604701,23811,0,2558,1,42,303,0,0,0,303,810100902,0,303,0,0,0,2936,69,11252501,32,303,0,0,0
3030,0,0,敏捷鼠妖,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,253700,31676,0,912,0,42,3030,0,0,0,3030,810100903,0,303,0,0,0,1368,0,11872997,1,3030,0,0,0
303,6,41,步美的暗影,31,4,0,303,196,0,303,0,200000001,0,0,0,0,0,0,605501,28818,0,2978,1,42,303,0,0,0,303,810100904,0,303,0,0,0,2271,64,10665885,32,303,0,0,0
3030,0,0,槌子蛇,0,0,0,3030,0,0,3030,0,200000001,0,0,0,0,0,0,255000,12468,0,760,0,42,3030,0,0,0,3030,810100905,0,303,0,0,0,1140,0,11582580,1,3030,0,0,0
1200,1,0,巨型哥布林,70,0,0,600,0,0,0,0,300000008,0,0,0,0,0,0,305705,80000,0,1400,0,60,0,0,0,0,0,810101001,0,310,0,0,0,1300,0,145000000,1,1800,0,0,0
125,1,0,爆发敌人,0,0,0,0,0,0,100,0,300000008,0,0,0,0,0,0,217300,0,0,0,0,100,0,0,5000,0,125,810101002,150,310,0,0,0,0,0,1000000000,1,0,0,0,0
0,1,0,爆发敌人,0,0,0,250,0,0,0,0,300000008,0,0,0,0,0,0,217301,0,0,0,0,100,0,0,0,0,0,810101003,0,310,0,0,0,0,0,1000000000,1,0,0,0,0
0,1,0,爆发敌人,0,0,0,0,0,0,0,0,300000008,0,0,0,0,0,0,217303,0,0,0,0,100,0,0,0,0,3000,810101004,0,310,0,0,0,0,0,1000000000,1,0,0,0,0
3040,0,0,魔像,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,250700,11008,0,2440,0,42,3040,0,0,0,3040,810101101,0,304,0,0,0,915,0,13682634,1,3040,0,0,0
304,5,48,克罗依的暗影,18,0,0,304,2553,0,304,0,200000001,0,0,0,0,0,0,610801,59852,0,605,1,64,304,0,0,0,304,810101102,0,304,0,0,0,450,30,9514010,32,304,0,0,0
304,6,11,祈梨的暗影,32,0,0,304,1254,0,304,0,200000001,0,0,0,0,0,0,606602,59250,0,1187,1,47,304,0,0,0,304,810101103,0,304,0,0,0,1112,50,10405471,32,304,0,0,0
3040,0,0,洞穴猿人,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,256800,45193,0,458,0,42,3040,0,0,0,3040,810101104,0,304,0,0,0,687,0,12723732,1,3040,0,0,0
3040,0,0,鬼灯草虫,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,258300,24400,0,610,0,42,3040,0,0,0,3040,810101105,0,304,0,0,0,915,912,13243526,1,3040,0,0,0
3040,0,0,暴君巨龟,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,251100,10761,0,1525,0,42,3040,0,0,0,3040,810101201,0,304,0,0,0,2288,0,13170027,1,3040,0,0,0
3040,0,0,沙铠野猪,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,253200,12126,0,1220,0,42,3040,0,0,0,3040,810101202,0,304,0,0,0,1830,0,13646968,1,3040,0,0,0
3040,0,0,持盾哥布林,0,0,0,3040,0,0,3040,0,200000001,0,0,0,0,0,0,251200,12627,0,1525,0,42,3040,0,0,0,3040,810101203,0,304,0,0,0,1373,0,13653499,1,3040,0,0,0
304,5,21,静流（夏日）的暗影,26,5,0,304,511,0,304,0,200000001,0,0,0,0,0,0,617101,28742,0,2933,1,42,304,0,0,0,304,810101204,0,304,0,0,0,1961,147,11650699,32,304,0,0,0
304,6,0,镜华的暗影,29,17,0,304,0,0,304,0,200000001,0,0,0,0,60649,0,603602,0,2460,480,1,42,304,0,0,0,304,810101205,0,304,0,0,0,585,60,9813346,32,304,0,0,0
