icon_id,icon_x,travel_time,need_power,travel_decrease_flag,main_reward_2,travel_quest_name,travel_area_id,main_reward_5,main_reward_4,main_reward_1,limit_unit_num,travel_time_decrease_limit,situation_group_id,icon_y,main_reward_3,travel_quest_id
11001001,-470,43200,100000,1,4104351,堤俄涅\n树林,11001,4201401,4104401,4101351,10,7200,1,108,4101401,11001001
11001002,-235,43200,100000,1,4110351,赫里克巨木,11001,4203401,4110401,4106351,10,7200,2,90,4106401,11001002
11001003,0,43200,100000,1,4105351,伊俄卡斯忒\n岩山,11001,4201401,4105401,4102351,10,7200,3,108,4102401,11001003
11001004,235,43200,100000,1,4109351,哈耳帕吕\n大瀑布,11001,4203401,4109401,4108351,10,7200,4,90,4108401,11001004
11001005,470,43200,100000,1,4107351,谟涅墨河,11001,4201401,4107401,4103351,10,7200,5,108,4103401,11001005
11002003,-470,43200,100000,1,4101401,阿尔巴堤坝,11002,4301401,4201401,4301351,10,7200,6,108,4104401,11002001
11002002,-235,43200,100000,1,4106401,虚宿一\n沙滩,11002,4305401,4203401,4305351,10,7200,7,90,4110401,11002002
11002001,0,43200,100000,1,4102401,达利克\n巨岩,11002,4302401,4201401,4302351,10,7200,8,108,4105401,11002003
11001005,235,43200,100000,1,4108401,安卡尔河,11002,4304401,4203401,4304351,10,7200,9,90,4109401,11002004
11001001,470,43200,100000,1,4103401,达克比亚\n森林,11002,4303401,4201401,4303351,10,7200,10,108,4107401,11002005
11003001,-470,43200,100000,1,4201401,米玛斯\n洞穴,11003,4109401,4104401,4201351,10,7200,11,108,4101401,11003001
11003002,-155,43200,100000,1,4202401,雷安特河,11003,4110401,4102401,4202351,10,7200,11,90,4108401,11003002
11003003,160,43200,100000,1,4203401,珂兰\n废墟,11003,4109401,4105401,4203351,10,7200,11,108,4103401,11003003
11003004,470,43200,100000,1,4204401,狄欧涅卡\n冰海,11003,4110401,4107401,4204351,10,7200,11,90,4106401,11003004
