voice_id,description,face_id_2,change_time_2,change_time_3,use_type,change_time,all_comments_flag,change_face_2,change_face,target_unit_id,face_id,unit_id,change_face_3,face_id_3,id
1,只要大家开心，我就开心！\n所以，来，笑一笑！,0,0.0,0.0,1,4.0,0,0,2,0,1,100101,0,0,1001001
2,困难的时候就要互帮互助！\n遇到什么事情，就要和我商量哦！\n一定有我可以帮到的事情！,0,0.0,0.0,1,3.0,0,0,2,0,1,100101,0,0,1001002
3,无论什么时候都要活力十足！\n累了的时候要好好休息哦？\n我……还很精神呢。,0,0.0,0.0,1,7.5,0,0,2,0,1,100101,0,0,1001003
4,其实啊……\n和你在一起……很开心！\n诶嘿嘿……谢谢你♪,0,0.0,0.0,1,6.0,0,0,2,0,5,100101,0,0,1001004
5,怎么回事呢……\n时不时会觉得胸口热乎乎的，\n难道是感冒了！？,0,0.0,0.0,1,6.0,0,0,6,0,4,100101,0,0,1001005
1,我要变强！\n我要和大家一起……\n一直开心下去！,0,0.0,0.0,1,0.0,0,0,1,0,1,100131,0,0,1001006
2,即使伤痕累累也没关系！\n因为有人在背后支撑着我……\n无论多少次，我都会站起来的！,0,0.0,0.0,1,0.0,0,0,1,0,1,100131,0,0,1001007
3,有骑士先生待在身边，\n我就觉得自己精神百倍！\n……是不是有点夸张了？,0,0.0,0.0,1,0.0,0,0,1,0,1,100131,0,0,1001008
4,我能听到……骑士先生的声音哦。\n无论相隔多远，\n我都能听出来！,0,0.0,0.0,1,0.0,0,0,1,0,1,100131,0,0,1001009
5,无论是什么样的对手，\n现在的我都不会输！\n因为那个人在支持着我！,0,0.0,0.0,1,0.0,0,0,1,0,1,100131,0,0,1001010
6,生日快乐，骑士先生！\n你想要什么礼物？\n料理？装备？还是……\n对了！我来陪你修行吧！,0,0.0,0.0,2,11.3,0,0,2,0,1,100101,0,0,1001011
6,生日快乐！\n这个给你！猫猫护身符！\n当我不在你身边的时候，\n这个一定会代替我保护你！,0,0.0,0.0,2,0.0,0,0,1,0,1,100131,0,0,1001012
1,呜喵喵喵喵！\n和骑士君在一起的话，\n我就是无敌的！\n要上了哦！,0,0.0,0.0,1,0.0,0,0,1,0,1,100161,0,0,1001013
2,不管是什么危机，至今为止\n都和骑士君一起克服过来了！\n只要今后我们两个在一起，\n我就不会输哦！,0,0.0,0.0,1,0.0,0,0,1,0,1,100161,0,0,1001014
3,因为有想要守护的笑容，\n因此我要战斗！\n所以，骑士君\n你要待在我的身旁哦！,0,0.0,0.0,1,0.0,0,0,1,0,1,100161,0,0,1001015
4,我想要更加心跳加速！\n虽然不是很明白，\n但感觉只要心跳加速，就能和骑士君在一起\n无所不能！,0,0.0,0.0,1,0.0,0,0,1,0,1,100161,0,0,1001016
5,我这么强的吗？\n这一定都多亏了骑士君！\n所以可以一直待在我的身边吗？\n因、因为我想要变强……,0,0.0,0.0,1,0.0,0,0,1,0,1,100161,0,0,1001017
1,那、那个……\n和我聊天，真的没关系吗？\n是吗，谢谢你！,0,0.0,0.0,1,6.0,0,0,5,0,4,100201,0,0,1002001
2,如果要战斗，\n治疗和支援就交给我吧！\n至于攻击，就一起加油……吧,0,0.0,0.0,1,4.0,0,0,5,0,2,100201,0,0,1002002
3,拜托了……\n别那样一直盯着我看……\n好、好害羞啊……啊呜……,0,0.0,0.0,1,4.0,0,0,8,0,4,100201,0,0,1002003
4,肚子饿不饿？\n要是想吃饭就告诉我哦\n简单的食物的话我是能马上做出来的,0,0.0,0.0,1,4.0,0,0,2,0,1,100201,0,0,1002004
5,需要我帮忙吗？\n要去哪里的话\n就把我也带上吧……,0,0.0,0.0,1,3.0,0,0,5,0,1,100201,0,0,1002005
1,要是有什么我能帮忙的，\n尽管说哦\n如果是小伤\n我马上就能治好,0,0.0,0.0,1,0.0,0,0,1,0,1,100231,0,0,1002006
2,只要是为了骑士君\n我……愿意\n更加、更加努力！,0,0.0,0.0,1,0.0,0,0,1,0,1,100231,0,0,1002007
3,给予你治愈的光辉！\n只是看着就觉得被治愈了？\n才没有……总觉得\n好害羞啊……,0,0.0,0.0,1,0.0,0,0,1,0,1,100231,0,0,1002008
4,要学什么样的魔法呢……\n两情相悦的魔法……\n那、那种魔法才不可能有对吧！,0,0.0,0.0,1,0.0,0,0,1,0,1,100231,0,0,1002009
5,新学会的魔法呀，\n有防火、防寒、耐热……还有\n防止鱼骨刺到喉咙的\n魔法……要保密哦？,0,0.0,0.0,1,0.0,0,0,1,0,1,100231,0,0,1002010
6,骑士君。生日快乐\n呃……这是生日的蛋糕！\n那个……不介意的话，请尝尝吧！\n嗯……今后也请多指教！,0,0.0,0.0,2,7.9,0,0,5,0,1,100201,0,0,1002011
6,生日快乐，骑士君\n今天除了蛋糕\n我还准备了各种食物\n大家一起庆祝吧！,0,0.0,0.0,2,0.0,0,0,1,0,1,100231,0,0,1002012
1,骑士君——我的重要之人\n受到伤害的时候，我想要治愈他……\n这就是我现在的愿望,0,0.0,0.0,1,0.0,0,0,1,0,1,100261,0,0,1002013
2,骑士君，有没有哪里痛？\n伤都好了吗？\n太好了。已经没事了吧,0,0.0,0.0,1,0.0,0,0,1,0,1,100261,0,0,1002014
3,拜托了，骑士君今后也请\n给我勇气……\n为了能够成为更加强大、更加温柔的自己！,0,0.0,0.0,1,0.0,0,0,1,0,1,100261,0,0,1002015
4,只论想念的程度，我也不会输的……\n但是，光有想念还不够吧，\n要好好付诸行动才行！,0,0.0,0.0,1,0.0,0,0,1,0,1,100261,0,0,1002016
5,喜欢骑士君的心情总是\n能够带给我力量……\n骑士君！？你听到刚才的话了吗！？,0,0.0,0.0,1,0.0,0,0,1,0,1,100261,0,0,1002017
1,若是为了达到目的，\n我不惜付出任何努力，\n希望你也有同样的决心,0,0.0,0.0,1,4.0,0,0,2,0,1,100301,0,0,1003001
2,关于下次的修行\n我想和你商量一下，可以吗？\n地点要选在哪里呢……,0,0.0,0.0,1,4.5,0,0,6,0,2,100301,0,0,1003002
3,想要变强……\n只要坚守这个信念\n你一定也能变强,0,0.0,0.0,1,4.5,0,0,2,0,1,100301,0,0,1003003
4,为什么呢……\n和你比剑\n就像是在跳舞一样,0,0.0,0.0,1,2.0,0,0,2,0,6,100301,0,0,1003004
5,下次要不要一起去钓鱼？\n虽然一个人也不会无聊\n但我想和你一起去,0,0.0,0.0,1,4.5,0,0,2,0,1,100301,0,0,1003005
1,来，准备好！\n你不是要一招取胜吗？\n没时间悠哉游哉了！,0,0.0,0.0,1,0.0,0,0,1,0,1,100331,0,0,1003006
2,那决不放弃的眼神……\n你果然很厉害\n我的眼光没错,0,0.0,0.0,1,0.0,0,0,1,0,1,100331,0,0,1003007
