normal_atk_cast_time,visual_change_flag,motion_type,atk_type,search_area_width,unit_name,cutin_star6,move_speed,unit_id,prefab_id,comment,cutin,se_type
3.5,0,0,1,800,长耳猴,0,270,200100,200100,【物理】远距离攻击投掷大块岩石，\n从远处发动攻击的猴子魔物。,0,0
3.5,0,0,1,360,长耳猴,0,270,200101,200100,【物理】远距离攻击投掷大块岩石，\n从远处发动攻击的猴子魔物。,0,0
3.0,0,0,1,800,气球鸟,0,270,200200,200200,【回复】范围回复将腹部积攒的满满\n魔力变为治愈波动的鸟类魔物。,0,0
3.5,0,0,2,200,魔界守门人,0,270,200300,200300,【魔法】范围攻击打开地狱之门的魔\n界守门人，吐出的火焰能造成烧伤。,0,0
3.5,0,0,2,350,魔界守门人,0,270,200301,200300,【魔法】范围攻击打开地狱之门的魔\n界守门人，吐出的火焰能造成烧伤。,0,0
3.5,0,0,2,500,魔界守门人,0,270,200302,200300,【魔法】范围攻击打开地狱之门的魔\n界守门人，吐出的火焰能造成烧伤。,0,0
2.5,0,0,1,350,狼人,0,270,200400,200400,【物理】近身攻击用尖锐的利爪撕碎\n敌人，狼之魔物。,0,0
2.5,0,0,1,100,狼人,0,270,200401,200400,【物理】近身攻击用尖锐的利爪撕碎\n敌人，狼之魔物。,0,0
3.0,0,0,1,200,野性角鹿,0,270,200500,200500,【物理】近身攻击用大犄角进行攻击\n和防御，鹿之魔物。,0,16
3.0,0,0,1,200,雪原山羊,0,270,200501,200501,【物理】近身攻击栖息于高山上，身\n披厚重毛皮，拥有强健体魄的驯鹿魔\n物。,0,16
3.0,0,0,1,580,野性角鹿,0,750,200503,200503,,0,16
3.0,0,0,1,350,野性角鹿,0,750,200504,200503,,0,16
3.0,0,0,1,120,野性角鹿,0,600,200505,200503,,0,16
3.0,0,0,1,200,雪原山羊,0,800,200506,200506,【物理】近身攻击栖息于高山上，身\n披厚重毛皮，拥有强健体魄的驯鹿魔\n物。,0,16
1.5,0,0,1,250,敏捷鼠妖,0,270,200600,200600,【物理】近身攻击虽然威力很小，但\n会灵活地反复进行攻击，老鼠魔物。,0,11
3.0,0,0,2,400,木魂,0,270,200700,200700,【魔法】中距离攻击投掷魔力弹，攻\n击偏后方的朽木魔物。,0,17
3.0,0,0,2,400,岩魂,0,270,200701,200701,【魔法】中距离攻击投掷燃烧的火焰，\n施加附加灼烧伤害的诅咒石像。,0,17
3.0,0,0,2,600,木魂,0,270,200702,200702,【魔法】中距离攻击投掷魔力弹，攻\n击偏后方的朽木魔物。,0,17
3.0,0,0,2,400,岩魂,0,270,200703,200703,【魔法】中距离攻击投掷燃烧的火焰，\n施加附加灼烧伤害的诅咒石像。,0,17
3.5,0,0,1,1080,食岩精灵,0,270,200800,200800,【物理】远距离攻击拥有能够咀嚼岩\n石的坚硬牙齿的山之精灵。,0,15
3.5,0,0,1,1080,食冰精灵,0,270,200801,200801,【物理】远距离攻击将冰块作为武器\n和食物的雪山精灵。,0,15
3.5,0,0,1,1070,食冰精灵,0,270,200803,200803,【物理】远距离攻击将冰块作为武器和食物的雪山\n精灵。\n\n・食冰精灵造成的所有伤害都会特大幅度降低队伍\n　的技能值回复量。\n・对魔法攻击力最低的一名敌人造成物理固定伤害。,0,15
2.5,0,0,1,200,树妖,0,270,200900,200900,【物理】前卫·近身攻击将柔软的枝\n条作为鞭子来进行攻击的树之魔物。,0,15
2.5,0,0,1,200,蜷旋金合欢,0,270,200901,200901,【物理】近身攻击用弯曲盘错的枝条\n将冒险者引入森林深处的豆科植物的\n树妖。,0,15
0.5,0,0,1,200,树精,0,270,200902,200902,【物理】中距离攻击自由自在地伸展\n枝杈，用熟练的技巧攻击弱点的朽木\n魔物。,0,15
0.5,0,0,1,3000,树精,0,270,200903,200902,【物理】中距离攻击自由自在地伸展\n枝杈，用熟练的技巧攻击弱点的朽木\n魔物。,0,15
2.0,0,0,1,3000,树精,0,270,200904,200904,【物理】中距离攻击自由自在地伸展\n枝杈，用熟练的技巧攻击弱点的朽木\n魔物。,0,15
2.0,0,0,1,3000,树精,0,270,200905,200905,【物理】中距离攻击自由自在地伸展\n枝杈，用熟练的技巧攻击弱点的朽木\n魔物。,0,15
0.5,0,0,1,0,树精,0,270,200906,200902,【物理】中距离攻击自由自在地伸展\n枝杈，用熟练的技巧攻击弱点的朽木\n魔物。,0,15
2.5,0,0,1,600,树妖,0,270,200907,200900,【物理】前卫·近身攻击将柔软的枝\n条作为鞭子来进行攻击的树之魔物。,0,15
3.0,0,0,2,1080,狱火骷髅,0,270,201000,201000,【魔法】中距离攻击地狱之火缠身，\n袭击生者的怨念集合体。,0,17
3.5,0,0,1,650,狗头人,0,270,201100,201100,【物理】中距离攻击投掷回旋镖似的\n骨头进行攻击的山犬魔物。,0,15
0.5,0,0,1,650,狗头人暗杀者,0,270,201101,201101,【物理】中距离攻击用迅捷的移动玩\n弄敌人的山犬魔物，会找准机会射出\n飞刀。,0,15
0.5,0,0,1,370,狗头人暗杀者,0,350,201102,201102,【物理】中距离攻击用迅捷的移动玩\n弄敌人的山犬魔物，会找准机会射出\n飞刀。,0,15
5.0,0,0,1,150,魔像,0,270,201200,201200,【物理】近身攻击用结实的身体进行\n攻守的岩石魔物。,0,16
5.0,0,0,1,150,蓝色魔像,0,270,201201,201201,【物理】【魔法防御】近身攻击\n从蕴藏魔力的岩石中诞生的，\n具有魔法耐性的石头人。,0,16
5.0,0,0,1,150,蓝色魔像,0,270,201202,201202,【物理】【魔法防御】近身攻击\n从蕴藏魔力的岩石中诞生的，\n具有魔法耐性的石头人。,0,16
5.0,0,0,1,150,魔像,0,270,201203,201203,【物理】近身攻击用结实的身体进行\n攻守的岩石魔物。,0,16
5.0,0,0,1,150,蓝色魔像,0,270,201204,201204,【物理】【魔法防御】近身攻击\n从蕴藏魔力的岩石中诞生的，\n具有魔法耐性的石头人。,0,16
5.0,0,0,1,50,蓝色魔像,0,270,201205,201201,【物理】【魔法防御】近身攻击\n从蕴藏魔力的岩石中诞生的，\n具有魔法耐性的石头人。,0,16
5.0,0,0,1,10,魔像,0,270,201206,201200,【物理】近身攻击用结实的身体进行\n攻守的岩石魔物。,0,16
5.0,0,0,1,50,魔像,0,270,201207,201200,【物理】近身攻击用结实的身体进行\n攻守的岩石魔物。,0,16
3.5,0,0,1,800,岩之花,0,270,201300,201300,【物理】中距离攻击将小石子当做子\n弹扔出进行攻击，用岩石做成的会动\n的花。,0,15
3.5,0,0,1,800,狂乱花,0,270,201301,201301,【物理】中距离攻击尾部的花释放恶\n臭，但闻惯了似乎会上瘾。,0,15
3.5,0,0,1,800,仙人掌花,0,270,201302,201302,【物理】中距离攻击触碰后，可以无\n限释放会让人麻痹的针的行走的仙人\n掌。,0,15
3.5,0,0,1,1000,狂乱花,0,270,201303,201301,【物理】中距离攻击尾部的花释放恶\n臭，但闻惯了似乎会上瘾。,0,15
3.0,0,0,2,1080,雷云长老,0,270,201400,201400,【魔法】【辅助】范围攻击自由操纵\n天气，降下落雷的云之魔物。,0,0
3.0,0,0,2,780,潜水水母,0,270,201500,201500,【回复】范围回复将捡到的潜水服里\n装满水，即使在陆地也能战斗的水母\n魔物。,0,0
2.5,0,0,2,800,树精,0,270,201600,201600,【魔法】【召唤】近身攻击\n利用大地的魔力自由蕴生\n蘑菇魔物的森之精灵。,0,15
2.5,0,0,2,800,妖精,0,270,201601,201601,【魔法】中距离攻击自由地操纵风，\n将冒险者玩弄于股掌之间的花之精灵。,0,15
2.5,0,0,2,800,宁芙,0,270,201602,201602,【魔法】中距离攻击如果发现了能一\n起玩耍的目标，就会不分青红皂白地\n进行恶作剧的林中精灵。,0,15
2.5,0,0,2,800,妖精,0,270,201603,201601,【魔法】中距离攻击自由地操纵风，\n将冒险者玩弄于股掌之间的花之精灵。,0,15
2.5,0,0,2,800,妖精,0,270,201604,201601,【魔法】中距离攻击自由地操纵风，\n将冒险者玩弄于股掌之间的花之精灵。,0,15
2.5,0,0,2,800,妖精,0,270,201605,201601,【魔法】远距离攻击自由地操纵风，\n将冒险者玩弄于股掌之间的花之精灵。,0,15
4.0,0,0,1,150,会动的战士雕像,0,270,201700,201700,【物理】【魔法防御】近身攻击\n拥有防御所有魔法攻击的盾牌，\n有生命的石像。,0,16
4.0,0,0,1,150,会动的剑士,0,270,201800,201800,【物理】【物理防御】近身攻击\n用剑将所有物理攻击反弹回去，\n有生命的石像。,0,5
3.0,0,0,1,1080,毒蝾螈,0,270,201900,201900,【物理】远距离攻击栖息在泥沼里，\n口中吐出剧毒的山椒鱼魔物。,0,0
3.0,0,0,1,1080,熔岩蝾螈,0,270,201901,201901,【物理】远距离攻击潜居于熔岩之海，\n对靠近自己的一切吐出灼热的体液的\n蝾螈魔物。,0,0
5.5,0,0,1,150,暴君巨龟,0,270,202000,202000,【物理】【物理防御】近身攻击\n用甲壳将所有物理攻击弹开的\n巨龟魔物。,0,16
2.0,0,0,1,200,发光蘑菇,0,270,202100,202100,【物理】近身攻击响应树妖的召唤，\n无限生长的蘑菇精灵。,0,14
2.0,0,0,1,200,红菇,0,270,202101,202101,【物理】近身攻击据说炖煮后意外美\n味的会走路的蘑菇,0,14
2.0,0,0,1,100,红菇,0,270,202102,202101,【物理】近身攻击据说炖煮后意外美\n味的会走路的蘑菇,0,14
3.5,0,0,2,650,垂耳翼兔,0,270,202200,202200,【魔法】近身攻击扇动巨大的耳朵猛\n地腾空而起的兔子魔物。,0,15
3.5,0,0,2,1080,火焰法师,0,270,202300,202300,【魔法】远距离攻击用从地狱召唤来\n的火焰释放魔法的上级恶魔。,0,17
3.5,0,0,2,1080,火焰法师,0,270,202301,202301,【魔法】远距离攻击用从地狱召唤来\n的火焰释放魔法的上级恶魔。,0,17
3.5,0,0,2,1080,火焰法师,0,270,202302,202302,【魔法】远距离攻击用从地狱召唤来的火焰释放魔\n法的上级恶魔。\n\n・火焰法师的所有伤害会特大幅度降低队伍的技能\n　值回复量。\n・对魔法攻击力最低的一名敌人造成魔法固定伤害。,0,17
3.0,0,0,1,750,洞穴猿人,0,270,202400,202400,【物理】近身攻击用强韧的手臂和肌\n肉抓住钟乳石并扔出的大型猿类魔物。,0,12
3.5,0,0,2,550,洞穴蝙蝠,0,270,202500,202500,【魔法】近身攻击栖息在洞窟中，听\n到猎物的脚步声便发动攻击的蝙蝠魔\n物。,0,15
4.0,0,0,2,750,洞穴蜗牛,0,270,202600,202600,【回复】范围回复分泌出的黏滑液体，\n据说利于美容，蜗牛魔物。,0,0
3.0,0,0,1,350,寄居蟹骑士,0,270,202700,202700,【物理】近身攻击用倒下的骑士的头\n盔替代贝壳扛在身上的寄居蟹战士。,0,6
3.0,0,0,1,50,寄居蟹骑士,0,270,202701,202700,【物理】近身攻击用倒下的骑士的头\n盔替代贝壳扛在身上的寄居蟹战士。,0,6
3.0,0,0,1,650,流浪乌鸦,0,270,202800,202800,【物理】范围攻击打倒阿斯特朗里的\n强大魔物的放浪乌鸦。,0,4
2.6,0,0,1,650,候鹰,0,270,202802,202802,【物理】范围攻击憧憬生于荒野、死\n于荒野的生存方式而进行独自旅行的\n老鹰。,0,4
2.5,0,0,1,200,毒液蜥蜴,0,270,202900,202900,【物理】近身攻击用尖锐的獠牙咬噬\n留下致命伤的毒巨蜥魔物。,0,14
3.0,0,0,1,200,岩盔蜥蜴,0,270,202901,202901,【物理】近身攻击头部皮肤变硬变得\n像铠甲一样的岩蜥魔物。,0,14
3.0,0,0,1,200,时髦草蜥,0,270,202902,202902,【物理】近身攻击叶子围巾十分鲜艳，\n蜥蜴魔物界的时尚达人。,0,14
3.0,0,0,1,2050,岩盔蜥蜴,0,270,202903,202903,【物理】近身攻击头部皮肤变硬变得\n像铠甲一样的岩蜥魔物。,0,14
0.5,0,0,1,200,火蜥蜴,0,270,202904,202904,【物理】近身攻击\n通过持续燃烧尾尖的火焰\n来温暖身体。会发出二连击的\n蜥蜴魔物。,0,14
3.0,0,0,1,100,矿蜥,0,270,202905,202905,【物理】近身攻击靠高等食尸兽吃剩的东西果腹的\n岩蜥蜴。借助露娜的魔力，表皮变成了更加坚固的\n矿石。,0,14
3.0,0,0,1,200,时髦草蜥,0,270,202906,202906,【物理】近身攻击叶子围巾十分鲜艳，\n蜥蜴魔物界的时尚达人。,0,14
3.0,0,0,1,100,矿蜥,0,270,202907,202905,【物理】近身攻击\n拥有坚固矿石表皮的岩蜥。,0,14
2.0,0,0,2,200,啫喱怪,0,270,203000,203000,【魔法】近身攻击物理攻击很难击中，\n十分黏滑的胶状魔物。,0,15
2.0,0,0,2,200,火焰啫喱怪,0,270,203001,203001,【魔法】近身攻击被卷入山火中，身\n上着火，变得十分凶暴的啫喱怪。,0,15
2.0,0,0,2,100,啫喱怪,0,270,203002,203000,【魔法】近身攻击物理攻击很难击中，\n十分黏滑的胶状魔物。,0,15
3.5,0,0,2,800,巨蜥幼崽,0,270,203100,203100,【魔法】近身攻击虽然体积小却能吐\n出强力火焰的小蜥蜴。,0,17
