voice,unit_name,favorite,guild_id,catch_copy,unit_id,voice_id,race,age,blood_type,guild,weight,birth_day,self_text,birth_month,height
东山奈央,日和莉,帮助别人、应援,2,最喜欢帮助他人！ 积极向上的格斗女孩,100101,0,兽人族,16,A,破晓之星,44,27,你好！ 我是日和莉！\n如果有人遇到了困难，我就会去帮他！\n如果可以，你也一起来吧？,8,155
种田梨沙,优衣,料理，观察人类,2,擅长战斗支援的善良少女,100201,0,人类,17,O,破晓之星,47,5,虽然不知道能不能派上用场……\n不过我也会努力\n支援大家的！,4,158
早见沙织,怜,读书、骑马、喝茶,2,冷酷，对凡事都很直率的剑士,100301,0,魔族,18,B,破晓之星,46,12,能与你相遇也是一种缘分\n作为一起朝塔顶进发的同伴\n加油吧。请多指教,1,163
诸星堇,未奏希,恶作剧、探险,5,喜欢探险的恶作剧之王,100401,0,人类,9,O,小小甜心,27,10,恶作剧就交给我吧！\n哥哥，小心别受骗喔♪,8,128
下田麻美,茉莉,扮演英雄,8,憧憬英雄的少女见习骑士,100501,0,兽人族,12,O,王宫骑士团（NIGHTMARE）,40,25,？？？,11,146
浅仓杏美,茜里,萨克斯,7,擅长撒娇的受欢迎之人,100601,0,魔族,13,O,恶魔伪王国军,42,22,茜里还有很多不懂的事……\n所以，今后\n请多指教喔，哥哥！,11,150
雨宫天,宫子,吃布丁,7,最喜欢布丁的幽灵女孩,100701,0,魔族,14,B,恶魔伪王国军,32,23,我不明白难懂的事~\n只要每天都能吃到布丁，\n就算一直是幽灵也没关系~,1,130
大空直美,雪,照镜子,15,我比任何人都美丽,100801,0,精灵,14,AB,纯白之翼 兰德索尔分部,40,10,我可真美啊……\n既可爱又漂亮真的是一种罪过\n可我天生如此，没办法♪,10,150
高野麻美,杏奈,小说执笔,13,相信有前世的中二病患者，「疾风之冥姬」,100901,0,魔族,17,A,暮光流星群,45,5,听好了，绝对别叫我的真名喔？\n要时常提防「机关」的耳目\n这是生存之道……！,7,159
内田真礼,真步,空想、收集毛绒玩偶,10,真步真步王国的公主,101001,0,兽人族,16,O,自卫团,42,22,我是真步真步王国的公主，真步公主！\n干嘛摆着一张奇怪的脸？\n真步真步王国是一个很遥远的国度哦？,9,155
阿澄佳奈,璃乃,裁缝,3,黏人，滔滔不绝的妹妹系少女,101101,0,人类,15,A,拉比林斯,44,25,虽然你可能不记得了……\n我是你的妹妹喔！\n所以，可以叫你哥哥吗？,8,156
