hp_recovery_rate,promotion_level,magic_def,energy_recovery_rate,dodge,hp,wave_hp_recovery,physical_penetrate,life_steal,physical_critical,magic_critical,magic_penetrate,def,energy_reduce_rate,unit_id,magic_str,atk,accuracy,wave_energy_recovery
0.0,2,0.0,0.0,1.0,65.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100101,0.0,16.0,0.0,10.0
0.0,3,0.0,0.0,2.0,185.0,125.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,100101,0.0,68.0,0.0,30.0
0.0,4,3.0,0.0,4.0,420.0,260.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,100101,0.0,158.0,0.0,60.0
0.0,5,7.0,0.0,7.0,810.0,420.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,100101,0.0,293.0,0.0,100.0
0.0,6,11.0,0.0,11.0,1340.0,630.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,100101,0.0,486.0,0.0,130.0
0.0,7,17.0,0.0,15.0,1660.0,1235.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,100101,0.0,731.0,0.0,155.0
0.0,8,24.0,9.0,15.0,2290.0,1795.0,0.0,9.0,10.0,0.0,0.0,35.0,0.0,100101,0.0,1030.0,0.0,180.0
0.0,9,27.0,23.0,16.0,2540.0,1795.0,0.0,9.0,40.0,0.0,0.0,46.0,5.0,100101,0.0,1459.0,0.0,205.0
10.0,10,35.0,37.0,16.0,2740.0,1795.0,0.0,9.0,100.0,0.0,0.0,51.0,10.0,100101,0.0,1941.0,0.0,205.0
20.0,11,44.0,37.0,16.0,3100.0,1795.0,0.0,9.0,158.0,0.0,0.0,55.0,15.0,100101,0.0,2439.0,3.0,205.0
20.0,12,46.0,37.0,18.0,3470.0,2045.0,0.0,9.0,198.0,0.0,0.0,66.0,15.0,100101,0.0,2871.0,36.0,205.0
20.0,13,54.0,37.0,18.0,3720.0,2045.0,0.0,9.0,251.0,0.0,0.0,79.0,15.0,100101,0.0,3345.0,56.0,230.0
20.0,14,68.0,37.0,20.0,3880.0,2045.0,0.0,9.0,328.0,0.0,0.0,97.0,15.0,100101,0.0,3840.0,56.0,255.0
20.0,15,82.0,37.0,20.0,3880.0,2045.0,0.0,9.0,448.0,0.0,0.0,111.0,15.0,100101,0.0,4412.0,56.0,255.0
20.0,16,94.0,37.0,20.0,3880.0,2045.0,0.0,9.0,586.0,0.0,0.0,124.0,15.0,100101,0.0,5015.0,59.0,255.0
20.0,17,103.0,37.0,20.0,3930.0,2045.0,0.0,9.0,711.0,0.0,0.0,142.0,15.0,100101,0.0,5656.0,62.0,255.0
