physical_penetrate,consume_gold,unit_id,magic_penetrate,magic_str,magic_str_growth,magic_critical_growth,life_steal,consume_num,accuracy,hp_recovery_rate,energy_recovery_rate_growth,wave_energy_recovery,magic_critical,wave_energy_recovery_growth,def_growth,accuracy_growth,dodge_growth,energy_recovery_rate,energy_reduce_rate,physical_critical_growth,physical_penetrate_growth,atk,magic_def_growth,physical_critical,atk_growth,def,wave_hp_recovery_growth,unit_material_id,wave_hp_recovery,rarity,hp,life_steal_growth,dodge,hp_recovery_rate_growth,hp_growth,magic_penetrate_growth,energy_reduce_rate_growth,magic_def
0.0,10000,100101,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,51.04,0.25,20.0,5.67,2.73,0.0,31001,0.0,1,376.0,0.0,0.0,0.0,41.77,0.0,0.0,2.28
0.0,20000,100101,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.37,20.0,8.5,3.27,0.0,31001,0.0,2,451.2,0.0,0.0,0.0,62.65,0.0,0.0,2.73
0.0,30000,100101,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,71.45,0.5,20.0,11.34,3.82,0.0,31001,0.0,3,526.4,0.0,0.0,0.0,83.54,0.0,0.0,3.19
0.0,40000,100101,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,81.66,0.62,20.0,14.17,4.36,0.0,31001,0.0,4,601.6,0.0,0.0,0.0,104.5,0.0,0.0,3.64
0.0,50000,100101,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,91.87,0.75,20.0,17.01,4.91,0.0,31001,0.0,5,676.8,0.0,0.0,0.0,125.4,0.0,0.0,4.1
0.0,0,100101,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,10.0,0.0,0.0,0.0,1847.2,1.0,120.0,22.68,5.73,0.0,31001,0.0,6,789.5,0.0,0.0,0.0,167.1,0.0,0.0,4.79
0.0,10000,100201,0.0,42.15,4.68,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,2.28,0.0,31002,0.0,1,330.8,0.0,0.0,0.0,36.75,0.0,0.0,1.94
0.0,20000,100201,0.0,50.58,7.02,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2.73,0.0,31002,0.0,2,396.9,0.0,0.0,0.0,55.12,0.0,0.0,2.32
0.0,30000,100201,0.0,59.01,9.36,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,3.19,0.0,31002,0.0,3,463.0,0.0,0.0,0.0,73.5,0.0,0.0,2.71
0.0,40000,100201,0.0,67.44,11.7,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,3.64,0.0,31002,0.0,4,529.2,0.0,0.0,0.0,91.87,0.0,0.0,3.1
0.0,50000,100201,0.0,75.87,14.04,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,4.1,0.0,31002,0.0,5,595.3,0.0,0.0,0.0,110.3,0.0,0.0,3.49
0.0,0,100201,0.0,548.6,18.72,0.0,0.0,0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,4.79,0.0,31002,0.0,6,694.5,0.0,0.0,0.0,147.0,0.0,0.0,34.07
0.0,10000,100301,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,51.04,0.28,15.0,5.67,2.73,0.0,31003,0.0,1,365.6,0.0,0.0,0.0,40.62,0.0,0.0,2.51
0.0,20000,100301,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.42,15.0,8.5,3.27,0.0,31003,0.0,2,438.7,0.0,0.0,0.0,60.93,0.0,0.0,3.01
0.0,30000,100301,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,71.45,0.56,15.0,11.34,3.82,0.0,31003,0.0,3,511.9,0.0,0.0,0.0,81.24,0.0,0.0,3.51
0.0,40000,100301,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,81.66,0.7,15.0,14.17,4.36,0.0,31003,0.0,4,585.0,0.0,0.0,0.0,101.6,0.0,0.0,4.01
0.0,50000,100301,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,91.87,0.84,15.0,17.01,4.91,0.0,31003,0.0,5,658.1,0.0,0.0,0.0,121.9,0.0,0.0,4.51
0.0,0,100301,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,10.0,0.0,0.0,0.0,1847.2,1.12,115.0,22.68,5.73,0.0,31003,0.0,6,767.7,0.0,0.0,0.0,162.5,0.0,0.0,5.27
0.0,10000,100401,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,47.62,0.25,20.0,5.29,2.85,0.0,31004,0.0,1,397.0,0.0,0.0,0.0,44.1,0.0,0.0,2.28
